timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.702,14.91,-63.28,-30.45,-0.408,1.0048,-0.1869
2.809,15.68,-63.56,-6.09,-0.4773,0.9326,-0.1728
2.916,22.19,-41.51,2.45,-0.7369,0.7569,0.0971
3.023,10.08,-17.43,-12.81,-0.632,0.7427,0.039
3.13,10.78,-8.33,-7.21,-0.5876,0.6588,0.1137
3.241,4.55,-14.42,-2.45,-0.5256,0.8433,0.0195
3.352,13.51,-16.87,14.56,-0.5846,0.7213,-0.0171
3.459,1.4,-11.69,-13.93,-0.6037,0.9389,-0.1859
3.566,21.07,-26.67,9.94,-0.5822,0.753,-0.1737
3.673,27.23,-44.52,-0.7,-0.5334,0.8784,-0.0742
3.78,33.88,-56.56,8.68,-0.5661,0.8467,0.0224
3.887,34.3,-65.94,54.95,-0.4309,0.9921,0.1147
3.994,38.57,-73.78,97.02,-0.1781,0.936,0.061
4.102,87.78,-61.11,160.72,0.2611,1.3703,0.1166
4.209,110.39,19.81,288.26,0.5368,1.608,-0.3655
4.316,62.65,243.81,221.13,-0.0669,1.2947,-0.8462
4.423,-22.26,0.84,41.65,-0.2381,0.7598,-0.1767
4.53,-39.76,66.08,-147.42,0.2869,1.1004,0.0708
4.638,21.35,19.6,-141.82,0.6808,1.2732,0.1718
4.745,51.59,-1.47,-51.87,0.5275,0.937,0.2313
4.852,48.23,14.28,-0.91,0.2689,0.8916,0.1269
4.959,30.94,22.68,-65.94,0.4006,1.057,-0.059
5.066,21.14,2.17,-3.29,0.3543,0.7613,-0.062
5.173,-1.68,-13.72,-35.84,0.0293,1.0302,-0.2216
5.28,-83.72,-23.38,-252.98,-0.3875,0.8818,-0.1176
5.387,-84.7,-76.16,-226.17,-0.6671,1.0736,0.2567
5.494,-28.42,-139.37,-120.05,-0.5988,0.8442,0.5427
5.602,21.14,-141.47,-57.33,-0.3762,0.6437,0.649
5.709,48.51,-111.02,28.07,-0.1064,0.8115,0.612
5.816,117.11,-57.12,102.13,-0.0176,0.8662,0.5529
5.923,156.8,-27.16,170.8,0.0752,1.2293,0.3728
6.03,232.68,46.34,239.26,0.3089,2.1472,0.2538
6.141,142.73,172.13,228.55,-0.4919,0.9243,-0.0639
6.248,-84.0,276.78,-5.81,-1.6041,0.3177,0.9731
6.355,-134.61,134.89,-76.72,0.5544,0.7174,0.5954
6.462,-35.21,79.59,-58.24,0.3221,0.5915,0.6032
6.569,15.05,54.39,-128.73,0.3157,0.7637,0.5622
6.679,73.01,41.44,-90.58,0.1742,0.813,0.6271
6.786,99.33,26.25,-63.07,0.2074,0.9477,0.6256
6.897,80.08,-17.71,-35.63,0.0127,0.9487,0.528
7.004,32.76,-26.32,-30.24,-0.142,0.9555,0.4421
7.111,-7.35,-31.92,-53.2,-0.3816,0.8682,0.4172
7.218,-35.98,-28.77,-115.29,-0.5797,0.9213,0.5163
7.325,-55.93,-41.79,-139.16,-0.5309,0.7793,0.4216
7.432,-17.57,-52.85,-87.5,-0.3133,0.7691,0.5109
7.539,40.6,-45.92,-24.57,-0.2396,0.71,0.6388
7.646,93.24,-44.8,75.81,-0.1362,0.7998,0.6076
7.753,101.5,-37.8,104.44,-0.2338,0.8677,0.507
7.86,130.13,-41.09,134.61,0.0815,1.1639,0.4992
7.967,187.67,-35.84,233.24,0.3899,1.7339,0.3177
8.074,91.63,197.96,195.09,0.0761,0.6354,-0.3323
8.182,-83.86,346.43,-96.46,-2.8631,0.9384,0.5802
8.289,-165.06,86.38,-88.48,0.1859,1.0311,0.8169
8.396,-22.75,-0.21,-52.99,0.3279,0.9453,0.4573
8.503,59.92,-3.99,-34.16,0.0747,0.7764,0.4909
8.61,84.98,-2.17,-20.72,0.2484,0.8999,0.5968
8.721,58.87,-17.36,-35.0,0.2308,0.8301,0.5749
8.828,28.98,-15.75,-5.18,-0.0576,1.0697,0.4046
8.935,4.76,-1.82,-34.51,-0.0371,0.8486,0.4021
9.042,-0.63,-14.77,-30.94,-0.0517,1.0106,0.4602
9.149,-37.17,-24.99,-73.57,-0.3274,0.9179,0.4348
9.258,-76.51,-20.79,-140.84,-0.4934,0.8721,0.5846
9.365,-81.97,-31.78,-137.55,-0.3782,0.8311,0.6237
9.472,-6.16,-30.31,-23.8,-0.0386,0.895,0.5612
9.579,99.54,-6.16,97.3,-0.246,0.8608,0.3777
9.686,164.99,29.61,132.51,-0.0649,0.7867,0.3826
9.797,247.03,-13.09,232.96,0.5344,1.3718,0.5729
9.904,176.54,6.86,258.09,0.3914,1.6226,-0.5466
10.011,16.03,291.55,29.47,-0.1898,0.7198,-0.1488
10.118,-115.57,56.14,-142.1,1.2864,0.2137,-0.0122
10.225,-134.26,110.67,-156.1,0.3967,0.6066,0.4763
10.332,-68.6,57.61,-72.24,0.6334,0.8569,0.4846
10.439,-5.53,35.14,-33.67,0.4138,0.693,0.5246
10.546,33.53,22.05,-47.53,0.3518,0.793,0.609
10.653,33.95,-8.4,-20.72,0.2025,0.8901,0.7056
10.761,26.81,-22.4,39.27,-0.0156,0.7793,0.6002
10.868,5.18,-14.91,-58.73,0.1054,0.8804,0.6124
10.975,-16.59,-1.19,-72.24,-0.2474,0.7481,0.4343
11.086,-57.96,-5.18,-212.24,-0.4499,0.9018,0.446
11.197,-19.74,5.25,-238.21,-0.6529,0.875,0.7115
11.304,-11.13,-15.89,-183.12,-0.6627,0.6886,0.7954
11.411,8.54,-31.08,-128.94,-0.4324,0.5056,0.733
11.518,65.73,-21.7,-9.17,-0.3309,0.5729,0.5797
11.625,112.77,14.42,40.81,-0.3294,0.5017,0.6202
11.732,151.62,2.8,115.78,-0.102,0.9331,0.7315
11.839,195.3,-13.23,253.75,0.0337,1.2429,0.6095
11.946,184.73,56.0,266.28,0.2323,1.2376,0.2606
12.053,123.83,207.13,254.73,-0.2157,0.9204,-0.3665
12.164,-56.49,83.02,-13.72,-0.5636,0.7701,-0.2006
12.271,-52.92,79.24,-121.87,0.2484,1.1048,0.3362
12.379,25.34,25.55,-80.08,0.426,1.0009,0.3372
12.486,47.32,1.61,-23.38,0.385,0.9858,0.3021
12.593,32.76,4.83,-22.19,0.1649,0.955,0.2899
12.7,18.76,26.74,-37.31,0.2152,0.9496,0.1371
12.807,15.19,50.68,-54.39,0.1015,0.9916,0.1298
12.914,14.0,73.43,-61.32,0.1362,0.9853,0.2616
13.021,8.61,97.79,-27.02,0.1,1.0126,0.2977
13.128,-8.33,123.2,-31.64,-0.0664,1.0702,0.2045
13.235,-22.19,130.9,-56.98,-0.2059,1.076,0.0747
13.343,-18.76,153.16,-66.36,-0.3963,0.9677,0.0278
13.45,-27.79,197.47,-49.63,-0.4182,0.8452,0.061
13.557,-33.18,225.96,-33.32,-0.4568,0.8818,0.1205
13.664,-82.6,220.71,-45.92,-0.2176,0.9267,0.0083
13.771,-96.81,187.11,-30.59,-0.1191,1.3278,-0.184
13.879,-44.31,126.63,26.53,-0.1645,1.2327,-0.3987
13.986,-9.45,39.13,-41.23,-0.3992,1.4357,-0.8691
14.097,31.22,-106.96,-116.27,-0.5705,1.523,-0.9082
14.204,140.77,-240.38,-203.56,0.4055,1.0087,-0.0581
14.311,168.77,-31.92,52.43,0.4734,0.1566,0.4465
14.419,66.85,-50.33,87.64,0.3777,0.5549,0.0766
14.53,88.9,-68.39,175.07,-0.7266,1.0189,-0.0054
14.637,64.05,-39.2,126.63,-0.9296,1.0882,-0.204
14.744,47.18,-40.88,108.43,-0.7476,1.1902,-0.1845
14.851,23.87,-7.84,40.67,-0.6202,1.1405,-0.1332
14.958,2.52,31.78,-0.42,-0.3821,0.8847,-0.0483
15.065,-3.85,56.84,-21.14,-0.5763,1.1849,-0.0781
15.172,-36.26,61.88,-39.97,-0.0522,0.8618,-0.3021
15.279,-44.31,62.37,-25.83,-0.2513,1.0268,-0.2025
15.386,-34.44,79.8,-42.21,-0.0922,0.9618,-0.1757
15.493,-28.63,100.52,-20.3,-0.0844,0.9091,-0.0717
15.6,-28.35,133.42,-34.58,-0.0503,1.0238,-0.1044
15.707,-44.17,131.25,-13.79,-0.0381,1.1434,-0.1791
15.814,-41.44,112.77,-17.85,-0.1283,0.9672,-0.4538
15.922,-48.65,9.1,-33.11,-0.4616,1.4162,-0.9252
16.029,-7.49,-127.61,-172.69,-0.9228,1.2517,-1.1014
16.136,181.44,-388.36,-169.33,2.136,0.6281,0.2967
16.243,107.87,0.63,61.04,0.2406,1.9208,0.2011
16.35,116.48,-6.86,104.23,-0.7808,1.0697,0.3299
16.46,120.68,-25.76,65.59,-0.8013,1.018,-0.0981
16.567,73.78,-55.16,70.42,-0.794,0.691,-0.181
16.674,49.42,-30.8,21.28,-0.5436,0.9765,-0.205
16.781,52.22,-35.98,28.35,-0.3377,0.7837,-0.3172
16.888,69.3,-50.19,51.87,-0.3016,0.8384,-0.4382
16.995,48.79,-53.27,38.64,-0.3655,0.611,-0.4534
17.102,65.17,-34.72,36.19,-0.4719,0.9126,-0.4524
17.209,76.93,-25.62,32.76,-0.4509,0.8125,-0.5978
17.32,42.91,-17.78,24.92,-0.5158,0.65,-0.5422
17.427,-6.44,8.68,-18.69,-0.5422,0.7013,-0.4402
17.538,-37.73,36.89,-45.71,-0.548,0.7266,-0.486
17.645,-57.54,95.83,-46.13,-0.5832,0.7369,-0.3675
17.752,-91.42,137.9,-63.7,-0.3192,1.0555,-0.283
17.859,-105.56,167.86,-92.19,-0.0473,0.9692,-0.1957
17.966,-101.5,173.39,-91.28,0.1615,1.2171,-0.1
18.073,-77.14,158.41,-55.09,0.3196,1.1995,-0.225
18.18,-41.37,83.3,-6.72,0.0127,1.1268,-0.6339
18.287,-25.48,-45.92,-92.82,-0.3157,1.8593,-1.2546
18.394,14.56,-216.58,-190.82,-0.4207,1.3996,-1.0692
18.503,136.64,-32.97,-195.86,0.4397,0.6578,0.7164
18.61,116.97,-31.5,-27.44,0.1005,0.0293,0.2865
18.721,66.85,-48.23,129.64,0.1,0.6261,0.0386
18.828,56.14,-61.04,118.79,-0.4372,1.1326,-0.1249
18.935,50.96,-61.95,108.5,-0.5329,1.2995,-0.2094
19.043,38.71,-25.06,54.25,-0.7945,1.2337,-0.2108
19.15,26.67,27.51,20.79,-0.7154,1.0502,-0.0303
19.257,-18.9,91.42,-71.82,-0.4836,0.9433,-0.0151
19.364,-35.28,99.33,-73.5,-0.0049,0.9477,-0.1425
19.475,-42.77,111.37,-43.05,-0.0542,0.9355,-0.1645
19.583,-52.99,120.54,-26.46,-0.0761,1.1239,-0.2596
19.694,-65.1,104.37,-23.73,-0.0586,1.0931,-0.4255
19.801,-59.08,81.13,-2.94,-0.2279,0.9853,-0.6251
19.908,-16.45,35.35,-42.28,-0.5958,1.2781,-1.0477
20.015,26.25,-102.83,-142.17,-0.3797,1.2737,-0.8491
20.122,108.08,-294.56,-189.07,0.2694,1.1488,-0.062
20.229,114.94,102.83,-48.79,-0.733,0.6739,0.2918
20.336,106.33,41.86,50.12,0.3162,0.4275,0.0239
20.443,62.44,-32.97,173.81,-0.3977,0.8828,-0.2913
20.55,67.2,-27.16,130.41,-0.5461,1.198,-0.405
20.661,50.19,-29.33,121.8,-0.7457,1.0497,-0.5558
20.768,-5.74,-1.82,37.03,-0.6676,0.9672,-0.3919
20.879,-7.14,12.39,5.67,-0.6393,0.9711,-0.1415
20.986,-39.06,6.3,-15.89,-0.3299,0.9008,-0.4748
21.097,-11.55,5.53,-36.33,-0.3792,0.9838,-0.4465
21.204,-29.54,35.35,-35.28,-0.2533,0.8989,-0.3684
21.311,-33.32,71.33,-25.06,-0.1542,0.8472,-0.286
21.418,-38.15,104.58,-39.34,-0.1415,0.975,-0.3279
21.525,-49.0,113.12,-25.27,-0.1288,0.9311,-0.4182
21.632,-47.25,109.76,-23.94,-0.1254,1.0336,-0.4597
21.74,-48.58,105.21,-27.3,-0.222,0.9204,-0.4826
21.847,-37.73,56.56,-13.79,-0.3645,1.1761,-0.7657
21.954,-11.48,-55.79,-79.94,-0.2899,1.4742,-1.0995
22.061,85.05,-225.4,-188.86,0.1113,1.2156,-0.7686
22.168,148.54,-46.13,-154.98,0.184,-0.0747,0.1937
22.275,122.92,-19.32,116.55,0.3367,0.2811,0.0815
22.382,52.29,-34.65,141.61,-0.1928,0.998,-0.08
22.489,76.09,-32.62,162.05,-0.6891,1.2288,-0.1571
22.596,73.92,-13.16,103.32,-0.7569,1.1917,-0.2894
22.703,49.84,-16.1,86.03,-0.5636,1.1014,-0.3992
22.81,28.63,1.89,20.58,-0.5919,1.0292,-0.4451
22.921,-2.31,25.62,-34.37,-0.3953,0.8701,-0.3455
23.028,-6.09,13.93,-44.45,-0.0927,0.8511,-0.425
23.135,-14.56,-10.5,-1.19,-0.1742,0.7003,-0.5329
23.35,13.79,-35.0,19.74,-0.5563,0.6105,-0.5153
23.457,23.31,-16.45,9.31,-0.4802,0.8398,-0.4226
23.564,41.65,-13.44,20.79,-0.388,0.7706,-0.4812
23.671,37.31,-24.85,43.12,-0.3021,0.854,-0.6827
23.779,33.04,-29.26,45.01,-0.3001,0.8179,-0.5134
23.886,21.0,-16.87,11.13,-0.1762,0.8115,-0.6754
23.993,16.17,-28.21,21.77,-0.1098,0.5993,-0.6861
24.1,8.82,-16.73,17.36,-0.2103,0.7135,-0.6305
24.207,28.56,2.38,-22.89,-0.2894,0.7096,-0.713
24.314,27.23,-0.28,-9.1,-0.3128,0.7252,-0.7466
24.421,16.1,18.2,-15.47,-0.2269,0.3416,-0.6817
