timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.459,-3.99,-35.77,-14.77,-0.4553,-0.8379,-0.02
2.571,-10.01,-20.16,-8.75,-0.3265,-0.8169,-0.0937
2.649,-6.79,-15.33,-19.46,-0.4568,-0.9511,-0.0698
2.813,6.65,-6.58,-53.97,-0.3787,-0.63,-0.1381
2.95,8.89,9.8,11.69,-0.0659,-0.5305,-0.2679
3.108,8.75,19.39,35.56,-0.0366,-0.8721,-0.1698
3.207,11.2,6.37,-38.36,-0.5251,-1.0892,0.0381
3.292,4.76,5.04,31.29,0.0063,-0.7579,-0.244
3.373,26.46,-12.6,-39.13,-0.5158,-0.9384,0.0039
3.534,50.26,-10.78,-8.54,-0.4831,-0.8262,0.0917
3.609,30.45,8.47,2.66,-0.3314,-1.1741,0.1854
3.83,-19.95,3.5,-13.72,-0.2294,-1.0024,0.061
3.91,1.54,-3.36,-14.63,-0.2796,-0.9765,0.041
4.026,18.9,-2.94,5.46,-0.2318,-1.0375,0.1425
4.132,24.08,-6.02,-23.8,-0.0586,-0.9833,0.1064
4.251,33.11,-18.69,-3.99,-0.0664,-0.9672,0.3304
4.371,41.16,-24.08,-4.2,0.0898,-0.6324,0.5549
4.493,99.61,-44.31,1.26,0.4187,-0.7993,1.6533
4.612,289.45,-172.13,80.43,-0.365,-1.871,1.14
4.732,101.5,-85.89,-111.65,0.1781,-0.7652,0.5592
4.852,-73.64,-18.41,-117.81,-0.0639,-0.4543,0.7798
4.975,-74.34,-23.8,-121.73,0.0561,-0.1205,1.1
5.094,3.36,-21.56,40.81,0.0166,-0.2313,1.161
5.212,25.9,-24.22,53.97,0.4636,-0.4626,0.9252
5.392,5.32,-52.92,130.83,0.4016,-0.2625,1.2961
5.513,-7.98,-71.12,99.89,0.3601,-0.3758,1.3483
5.632,45.64,-50.12,-46.83,1.9374,1.4362,0.5934
5.756,54.32,-2.59,-71.4,0.3045,-0.4558,0.6827
5.773,59.57,36.82,81.2,0.7837,-0.6129,0.8384
5.875,22.4,59.43,17.5,0.7676,-0.1908,0.7042
5.957,30.87,57.68,13.93,0.7017,-0.0673,0.7462
6.109,28.0,12.11,62.93,0.5617,-0.2259,0.9155
6.25,5.25,-0.07,32.2,0.4011,-0.1713,0.9428
6.414,3.29,6.93,114.59,0.5339,-0.3562,1.0643
6.492,-11.27,12.6,14.7,0.2591,-0.2372,1.0785
6.652,8.05,43.4,16.1,0.1157,-0.2045,0.9989
6.733,4.62,48.86,-31.08,0.0766,-0.2235,1.0185
6.85,6.93,51.8,-35.84,0.059,-0.2923,0.9755
6.912,2.66,51.24,-51.8,0.0468,-0.327,1.1551
7.068,4.06,33.6,7.14,0.2128,-0.2416,0.9814
7.15,8.82,16.1,14.35,-0.0732,-0.3152,1.0297
7.312,8.05,-24.01,-45.22,-0.0834,-0.3972,0.9687
7.405,-11.27,-32.06,-13.44,-0.1108,-0.3328,0.9618
7.549,-26.74,-19.25,-5.6,-0.1137,-0.3631,1.0292
7.63,-25.69,-13.23,14.63,0.0039,-0.3616,0.9697
7.789,-12.6,-10.78,5.04,0.0029,-0.3314,0.9384
7.931,10.22,0.49,-13.51,-0.0142,-0.4348,1.0189
8.091,4.2,-9.8,58.73,0.2733,-0.5885,0.9858
8.17,29.12,1.12,34.51,-0.1825,-0.2167,0.9872
8.393,21.07,-15.82,20.86,-0.2289,-0.2865,0.9628
8.511,13.86,-8.47,31.57,-0.121,-0.2904,0.9853
8.65,-3.15,-3.64,5.53,-0.1737,-0.3021,1.0482
8.815,-0.91,4.13,58.94,0.0547,-0.3597,1.0653
8.89,-7.84,0.49,47.88,0.0708,-0.222,1.0097
9.11,3.71,-22.4,76.09,0.041,-0.1518,0.9506
9.25,3.36,-35.0,67.55,-0.0703,-0.1376,0.998
9.411,-11.48,-10.01,89.11,-0.2538,-0.5022,1.1629
9.494,-36.26,8.61,143.78,0.0127,-0.7096,1.2678
9.611,-55.44,23.73,32.06,-0.2908,-0.2503,0.894
9.729,-13.16,35.28,109.55,-0.2128,-0.1654,0.7593
9.788,-2.73,32.62,64.96,-0.1835,-0.124,0.791
9.85,8.05,21.07,38.08,-0.1581,-0.0498,0.8115
9.909,11.69,7.98,31.71,-0.223,-0.2035,0.9633
9.969,4.97,-8.47,9.8,-0.143,-0.2611,0.9638
10.029,-10.64,-28.77,-19.81,-0.1913,-0.4309,1.0175
10.087,-29.4,-39.06,-36.54,-0.4197,-0.6437,1.2888
10.148,-41.44,-37.03,-38.01,-0.4192,-0.4309,1.1029
10.223,-38.36,-35.0,-49.84,-0.3582,-0.4582,0.9516
10.27,-33.81,-29.75,-60.27,-0.2845,-0.3245,0.8877
10.329,-24.36,-29.89,-51.03,-0.1083,-0.3133,0.6559
10.388,-23.45,-22.4,-38.15,-0.2899,-0.3709,0.6534
10.463,-40.46,-4.76,-40.11,-0.3284,-0.5285,0.5656
10.508,-59.92,5.74,-18.27,-0.1732,-0.9194,0.5836
10.583,-104.16,10.22,50.12,-0.0859,-1.2005,0.4343
10.63,-132.65,15.26,67.83,-0.0312,-1.402,0.4163
10.693,-183.12,10.57,40.88,0.0444,-1.7182,0.5549
10.748,-216.37,5.11,7.49,-0.2255,-1.4147,0.8843
10.823,-154.63,-24.78,22.61,-0.0454,-0.6368,0.2952
10.868,-106.26,-38.64,50.75,-0.2103,-0.5812,0.2167
10.93,-62.23,-57.26,-14.91,-0.1581,-0.5588,0.2001
10.988,-35.49,-63.91,-16.52,-0.3284,-0.7091,0.2381
11.063,-25.34,-59.01,-3.43,-0.326,-1.0341,0.3152
11.108,-23.94,-50.89,-3.71,-0.3704,-1.0268,0.3045
11.168,-10.5,-45.36,-10.01,-0.1918,-0.9965,0.2377
11.228,12.88,-35.7,-50.33,-0.2908,-1.1907,0.1693
11.303,34.58,-7.63,-11.41,-0.1932,-1.098,0.4431
11.352,67.48,4.48,-14.28,-0.1147,-0.9682,0.222
11.408,108.22,12.46,-8.96,-0.0483,-1.0526,0.0054
11.514,121.1,15.96,-43.4,-0.1083,-0.8774,0.3138
11.631,78.05,13.37,-11.97,-0.0551,-1.0321,0.0522
11.709,30.73,2.73,-22.05,-0.0254,-1.2488,-0.1181
11.873,-112.77,-22.47,33.11,-0.1488,-1.4425,0.1786
11.95,-158.48,-12.46,20.72,-0.3065,-1.2825,0.3504
12.109,-92.4,-19.25,-17.57,-0.2869,-0.6656,0.2855
12.191,-47.04,-22.26,26.88,-0.1688,-0.8267,0.2147
12.351,0.7,-9.45,-0.21,-0.0786,-1.2581,0.205
12.433,36.61,2.8,-6.58,0.0522,-1.0902,0.0547
12.591,167.79,40.18,-14.42,0.0298,-0.9789,0.0849
12.677,185.15,34.86,-18.34,0.0361,-0.8477,0.3958
12.829,151.41,-0.35,17.92,-0.0454,-1.1736,0.2298
12.907,77.98,-15.61,-15.82,-0.0874,-1.2849,0.1215
13.076,-149.24,11.41,34.65,-0.4802,-1.381,0.9287
13.25,-199.15,24.99,11.83,-0.2045,-0.6393,0.5646
13.313,-154.07,-11.62,-1.4,-0.0947,-0.568,0.4319
13.37,-93.24,-13.44,52.36,-0.001,-0.8999,0.4168
13.433,-59.99,-22.05,56.98,-0.0468,-1.0882,0.5431
13.49,-51.87,-27.44,12.18,-0.1728,-1.2161,0.5539
13.553,-43.4,-18.41,9.87,-0.4236,-1.4459,0.4163
13.611,-38.64,7.42,-11.48,-0.2835,-0.6978,0.2738
13.671,14.77,25.83,-35.91,0.0717,-0.4494,-0.0644
13.731,127.12,14.98,0.42,-0.0293,-0.8535,0.0522
13.791,201.32,11.9,-33.32,0.0512,-0.8906,0.5993
13.851,251.44,6.79,-1.68,0.1869,-1.0277,0.8233
13.911,266.77,-11.34,-28.63,0.1928,-1.1844,0.8306
13.971,248.64,-21.35,-72.73,0.2108,-1.343,0.9048
14.031,211.96,-25.83,-88.41,0.2342,-1.178,0.7935
14.091,165.83,-25.55,-129.01,0.124,-1.1863,0.7701
14.151,115.92,-19.11,-148.05,0.2294,-0.9877,0.8413
14.211,65.73,-20.79,-109.27,0.1698,-0.852,1.1522
