timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.809,37.59,-16.1,11.13,-0.4641,0.7603,-0.5339
2.918,35.7,-17.57,11.69,-0.6066,0.6378,-0.4675
3.027,23.38,-11.69,11.69,-0.5905,0.5744,-0.4997
3.134,14.28,-10.22,11.83,-0.5812,0.6271,-0.5388
3.241,18.27,-6.23,5.88,-0.5456,0.5719,-0.5807
3.352,19.04,-7.63,2.24,-0.5314,0.5475,-0.6178
3.459,25.34,-7.77,5.6,-0.5485,0.5407,-0.6256
3.567,30.8,-8.47,-2.52,-0.5388,0.5436,-0.6427
3.674,33.81,-12.95,14.0,-0.5417,0.4738,-0.6676
3.781,28.7,-12.95,2.31,-0.568,0.5183,-0.6466
3.892,21.42,-17.43,14.07,-0.5739,0.4734,-0.6261
3.999,20.16,-10.15,1.61,-0.6734,0.4465,-0.6403
4.106,24.78,-8.19,-9.24,-0.6227,0.4226,-0.7052
4.217,38.08,-23.94,12.74,-0.5295,0.487,-0.6217
4.328,60.55,-10.15,109.41,-0.4046,0.6071,-0.4636
4.435,56.0,24.01,164.92,-0.1108,0.6007,-0.5348
4.542,1.05,79.24,180.88,0.0576,0.7764,-0.9692
4.649,-59.5,151.34,125.23,0.1645,1.1453,-1.4577
4.756,-54.74,229.74,240.24,0.0449,1.1795,-1.3757
4.867,-46.2,7.91,260.96,1.2503,0.5934,-0.5851
4.974,-42.07,85.33,-150.29,0.2357,0.6227,-0.1581
5.081,-0.28,37.52,-280.84,0.4036,0.9614,-0.1679
5.189,51.73,21.49,-167.65,0.3792,1.3337,0.0224
5.3,45.15,19.88,-43.12,0.0386,0.9804,0.0102
5.407,-7.49,35.91,-45.57,-0.1083,1.017,-0.0937
5.514,0.14,53.06,-70.77,-0.1122,0.9462,-0.3787
5.621,-3.64,45.57,-88.9,-0.0781,1.0185,-0.2908
5.729,2.1,26.11,-72.1,-0.1396,0.7691,-0.324
5.836,7.07,0.91,-72.87,-0.3192,0.9262,-0.3294
5.943,10.15,-38.71,-132.51,-0.4099,0.7383,-0.2865
6.05,34.09,-89.88,-101.29,-0.7252,0.9658,-0.3314
6.157,73.92,-101.01,-49.7,-1.0141,0.6564,-0.0952
6.265,81.83,-90.3,35.56,-1.0077,0.3304,0.466
6.372,74.06,-80.64,67.34,-0.7247,0.4953,0.5656
6.483,125.72,-64.89,155.54,-0.3562,0.9531,0.55
6.59,157.78,-54.11,258.37,-0.407,1.079,0.222
6.697,127.68,-26.39,211.4,0.3728,1.3962,-0.3231
6.805,85.19,91.91,201.32,0.0942,1.4489,-0.9926
6.912,-53.55,296.17,39.27,-0.5368,0.0259,0.0185
7.019,-130.41,89.95,-173.32,0.1923,0.427,0.2923
7.126,-20.79,27.09,-128.31,0.4524,1.0087,0.2435
7.233,35.14,19.39,-96.39,0.3621,0.9726,0.182
7.34,38.08,19.6,-54.25,0.1137,1.0394,0.2801
7.447,22.75,44.73,-69.44,0.0161,0.9858,0.1854
7.554,40.11,84.7,-69.3,-0.0625,1.1141,0.1635
7.661,10.08,64.19,-70.0,-0.0703,1.1053,-0.1659
7.769,-16.1,22.68,-56.98,-0.183,0.835,-0.0639
7.876,-13.86,-4.2,-95.34,-0.4041,0.9433,-0.1059
7.983,-24.78,-37.66,-164.22,-0.9496,0.8384,-0.1732
8.094,-5.74,-76.51,-161.56,-1.1375,0.5739,0.0776
8.201,63.84,-43.26,-45.78,-0.8091,0.5905,0.3777
8.309,72.73,-32.2,-21.98,-0.609,0.3948,0.5651
8.416,82.81,-50.4,41.37,-0.4621,0.611,0.569
8.523,123.97,-48.51,158.76,-0.4568,0.9477,0.3518
8.63,129.15,-28.07,201.6,-0.223,1.161,0.222
8.737,150.99,-4.76,254.38,0.2582,1.6377,0.0766
8.845,140.98,94.71,284.2,0.12,1.81,-0.9223
8.952,-123.48,168.7,-512.33,0.6017,1.7295,-0.4172
9.059,-63.91,105.07,-37.59,0.0947,0.4743,0.2123
9.166,-39.41,32.62,-136.43,0.4436,1.0243,0.3079
9.277,14.7,15.89,-104.86,0.3118,0.9721,0.2396
9.385,31.01,36.54,-93.52,0.244,1.1112,0.2723
9.492,47.46,50.19,-64.05,0.2162,1.0848,0.2147
9.599,30.17,39.34,-29.26,0.0849,0.9848,0.0605
