timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
3.129,5.81,-6.37,-0.56,-0.489,0.1903,-0.8379
3.238,10.43,-3.92,-1.19,-0.4826,0.1913,-0.8667
3.345,10.5,-9.24,2.8,-0.4548,0.1898,-0.9326
3.452,5.39,-12.32,7.28,-0.4919,0.0683,-0.8179
3.559,4.62,-14.14,-1.47,-0.489,0.1869,-0.852
3.666,19.67,-6.44,10.5,-0.4797,0.0839,-0.8706
3.773,24.36,8.68,1.75,-0.4836,0.0956,-0.8921
3.88,21.35,17.29,11.97,-0.4187,0.0244,-0.8613
3.988,15.75,38.71,-9.52,-0.5719,-0.04,-0.795
4.095,-23.66,7.35,-80.71,-0.6398,-0.1127,-0.8472
4.206,-69.3,-99.75,-119.63,-1.0087,-0.3304,-0.913
4.313,-60.97,-214.48,-171.29,-1.4777,0.0351,-1.1351
4.42,12.18,-264.11,-169.89,-1.4894,-0.0434,-0.937
4.528,74.76,-242.97,-210.14,-1.1136,-0.1454,-0.4563
4.639,133.0,-236.53,-111.23,-0.2567,-0.0825,0.164
4.746,128.59,-237.93,-61.95,0.021,-0.1537,0.5431
4.853,123.9,-222.6,-20.51,0.5036,-0.1474,0.6525
4.96,117.6,-235.62,13.51,0.791,-0.0264,0.6515
5.068,112.77,-198.17,25.41,1.2815,0.1913,-0.2689
5.175,145.04,-5.88,27.58,0.6959,0.347,-0.7598
5.282,224.91,297.71,47.46,-0.0864,0.2528,0.6725
5.389,234.01,27.44,56.56,-1.2132,0.5412,1.6992
5.496,95.9,60.9,-26.04,-0.1742,-0.1615,0.9262
5.603,37.59,153.51,-159.04,0.4704,0.8306,1.2942
5.71,10.57,82.53,-67.13,0.5563,0.9194,1.4303
5.817,1.89,30.87,-19.39,0.2513,0.4548,1.2161
5.924,-8.26,19.46,-15.54,0.063,0.4524,1.0209
6.031,-8.89,9.73,-10.99,0.0625,0.4978,0.8272
6.138,-4.41,3.43,-16.31,0.2416,0.4021,0.855
6.245,12.11,5.53,8.19,0.0571,0.4216,0.9892
6.356,-3.15,30.94,-2.52,-0.1103,0.304,0.6608
6.463,34.72,82.04,-21.0,-0.1932,0.4924,0.5724
6.57,74.76,132.58,-60.06,-0.5192,0.632,0.5549
6.677,97.79,178.92,-62.79,-0.8257,0.8052,0.4504
6.784,86.8,150.29,-66.5,-1.0404,0.5705,0.1498
6.891,89.95,148.61,-43.96,-1.1165,0.6095,0.0
6.998,74.9,121.38,-37.52,-1.0702,0.2938,-0.3201
7.106,70.84,116.76,-27.65,-0.9936,0.2245,-0.5222
7.213,66.78,116.2,-19.25,-0.7447,0.0688,-0.6749
7.32,45.29,105.0,-31.29,-0.4519,-0.0849,-0.8725
7.427,27.93,79.24,-13.37,-0.285,-0.0742,-0.8818
7.534,29.05,48.44,9.73,-0.2074,-0.0508,-0.9204
7.643,9.31,5.46,-21.63,-0.1776,-0.0381,-0.8886
7.75,-9.38,-28.21,-18.41,-0.4485,-0.102,-0.8496
7.857,-40.81,-62.72,-76.23,-0.6915,-0.1991,-1.0736
7.964,-60.48,-157.22,-107.73,-0.8072,-0.1322,-1.3508
8.071,-16.66,-252.7,-117.39,-0.9789,-0.0864,-1.606
8.178,39.13,-298.69,-92.89,-1.0931,0.0395,-1.0468
8.285,72.24,-292.95,-85.82,-0.9209,-0.1728,-0.4002
8.392,65.24,-263.76,-77.21,-0.4158,-0.2577,0.2464
8.499,51.66,-236.04,-71.12,-0.0366,-0.0693,0.5231
8.607,56.0,-236.88,-32.34,0.4172,-0.1059,0.6764
8.714,86.17,-253.05,6.09,0.914,0.0195,0.5822
8.821,111.37,-228.97,32.9,1.2356,0.3528,-0.2591
8.928,151.55,-5.46,3.01,0.5558,0.5807,-0.8594
9.035,202.93,336.28,-8.12,-0.3226,0.1654,1.1131
9.144,188.02,47.04,47.25,0.0854,0.0478,1.5826
9.251,47.95,52.57,-14.28,-0.1708,-0.3011,1.0253
9.358,1.75,135.38,-140.28,0.141,0.3431,1.0433
9.465,15.19,98.84,-112.0,0.3314,0.832,1.567
9.572,14.49,15.89,-57.47,0.1781,0.4763,1.3757
9.679,-2.1,-8.96,-46.2,0.385,0.5983,0.978
9.786,2.66,-10.08,-12.88,0.3011,0.3875,0.9404
9.893,0.7,-2.52,16.59,0.142,0.4128,1.0668
10.0,-2.17,17.29,30.45,0.002,0.3289,0.8818
10.108,-13.51,48.16,8.68,-0.1415,0.2342,0.8115
10.215,10.71,110.6,-13.58,-0.3152,0.242,0.6037
10.322,36.89,161.49,-20.16,-0.5832,0.3811,0.6876
10.429,49.91,202.72,-29.96,-1.0038,0.4451,0.6237
10.536,58.17,225.54,-30.94,-1.1258,0.3977,0.2274
10.644,50.96,209.3,-28.0,-1.0819,0.2338,-0.3875
10.751,71.26,212.8,-14.28,-1.0712,0.2547,-0.5919
10.858,67.27,181.3,-5.18,-0.6105,0.0464,-0.832
10.965,52.5,115.57,-1.19,-0.3333,0.0434,-0.9287
11.072,40.32,45.85,40.81,-0.2513,-0.0439,-0.895
11.179,5.04,-31.57,24.57,-0.4148,-0.0488,-0.7857
11.286,-31.36,-90.86,-2.73,-0.7828,-0.0117,-0.7554
11.393,-78.19,-164.99,-71.89,-1.0614,-0.0898,-1.036
11.5,-79.73,-264.6,-93.73,-1.3986,-0.0771,-1.3957
11.608,-16.38,-310.66,-161.56,-1.4718,0.0854,-0.812
11.715,40.88,-277.34,-142.52,-1.0712,-0.1532,-0.1449
11.822,75.46,-257.18,-128.03,-0.3855,-0.0776,0.2191
11.929,106.75,-265.72,-39.76,0.367,0.1161,0.5656
12.04,135.03,-272.23,36.61,1.0009,0.3021,0.5241
12.147,137.41,-219.17,73.71,1.1732,0.3465,0.2006
12.254,154.07,53.83,40.04,0.1942,0.3328,0.202
12.361,259.07,302.33,98.07,-0.57,-0.0551,1.4962
12.468,176.33,-24.43,66.22,-0.467,0.1952,1.666
12.575,80.29,89.11,13.86,-0.1957,0.0927,0.6949
12.682,52.43,172.69,-133.7,-0.0747,0.4846,0.6783
12.789,97.02,221.83,-182.35,-0.325,1.2683,0.4158
12.9,221.27,311.29,-101.36,-0.8067,1.5645,0.6349
13.007,334.04,270.13,42.07,-1.1858,1.1927,0.0093
13.114,199.01,105.91,10.15,-1.015,0.8418,-0.8179
13.223,87.29,59.85,17.71,-0.7501,0.3084,-0.6525
13.33,42.42,50.54,-42.42,-0.5944,0.2874,-0.5773
13.437,-3.64,-47.04,12.67,-0.2201,0.1215,-0.8999
13.544,-10.15,-49.84,57.33,-0.2952,0.1225,-1.079
13.655,1.61,1.61,39.34,-0.4524,-0.0444,-0.7501
13.766,17.64,21.35,37.38,-0.4573,0.2069,-0.855
13.873,4.62,14.07,23.73,-0.5173,0.0712,-0.8501
13.98,-17.08,6.37,-17.78,-0.4329,0.1606,-0.9228
14.087,-9.03,-2.17,-24.08,-0.2938,0.1869,-0.9028
14.194,21.07,-5.53,-21.14,-0.2928,0.2938,-1.0106
14.303,39.62,-3.36,-3.36,-0.2786,-0.0093,-0.9531
14.41,44.8,7.56,46.27,-0.5144,-0.4826,-0.8989
14.517,21.42,7.98,-4.41,-0.3431,-0.1342,-0.856
14.624,24.85,29.26,0.07,-0.3587,-0.1859,-0.7452
14.731,15.05,34.23,-17.5,-0.1693,-0.2513,-0.7906
14.838,12.39,31.01,-3.36,-0.3001,-0.1747,-0.7623
14.945,11.76,22.89,14.07,-0.0786,-0.3177,-1.1053
15.056,11.55,2.94,18.83,0.0971,-0.4114,-1.1629
15.163,16.03,12.74,-9.45,-0.0229,-0.3314,-0.9882
15.27,26.46,21.35,3.15,-0.0039,-0.3318,-0.8228
15.377,4.62,6.16,-3.22,0.1254,-0.5285,-0.8955
15.484,-16.45,6.02,-5.04,-0.039,-0.4529,-0.7379
15.591,-37.59,-8.82,-48.86,0.0756,-0.2664,-0.955
15.698,-32.83,-26.46,-43.05,0.0459,-0.2259,-0.8955
15.913,8.33,-49.0,-21.14,-0.0449,0.0917,-1.2044
16.02,25.27,-57.47,-8.33,-0.1122,-0.1947,-1.179
16.127,14.14,-9.73,-8.68,-0.3826,-0.1698,-0.8677
16.234,-27.65,5.46,-12.81,-0.304,-0.1947,-0.8145
16.345,-50.96,-15.96,-70.07,-0.3626,0.0756,-0.7637
16.452,-62.51,-60.06,-34.51,-0.6598,0.1059,-0.7042
16.559,-105.28,-119.77,-88.97,-1.199,0.1454,-0.9111
16.666,-135.94,-213.01,-77.35,-1.4762,0.347,-1.1453
16.773,-83.51,-296.38,-127.54,-1.6607,0.3816,-0.7852
16.884,-41.02,-300.79,-170.73,-1.1732,0.1157,-0.1942
16.991,9.59,-269.15,-118.86,-0.5861,0.0634,0.1879
17.098,31.36,-233.8,-86.66,-0.0386,-0.0737,0.4275
17.205,52.78,-229.95,-43.4,0.8755,0.1518,0.386
17.312,86.03,-222.18,7.84,0.9189,-0.0146,0.4992
17.419,100.31,-152.32,25.69,1.1756,0.2269,0.2777
17.526,83.79,2.31,50.89,0.7105,-0.2201,-0.4568
17.633,121.24,375.27,109.06,-0.7388,0.5305,0.671
17.74,164.22,19.6,91.14,-0.9453,0.242,1.5094
17.848,76.3,35.77,-34.58,-0.4714,-0.1157,0.751
17.955,100.94,155.75,-143.29,-0.123,0.6817,0.9296
18.066,160.3,258.86,-160.37,-0.4714,1.3161,1.2786
18.173,207.27,291.69,-101.71,-1.017,1.158,1.0043
18.28,213.43,259.84,-40.04,-1.6407,1.0028,0.4138
18.387,10.57,147.84,-160.44,-1.1029,0.2074,-0.0551
18.498,-32.62,30.24,-76.65,-0.3626,0.9106,-0.6305
18.605,44.24,-6.72,54.74,-0.3328,0.4358,-0.5534
18.712,17.64,-19.6,86.1,-0.5314,0.0498,-0.7442
18.819,26.04,-16.24,34.09,-0.7027,0.5144,-0.753
18.927,28.42,5.11,-10.57,-0.8291,0.2816,-0.7608
19.034,44.8,47.95,0.21,-0.5641,0.2869,-0.7725
19.141,66.08,49.49,-9.59,-0.4987,0.3523,-0.9101
19.248,82.11,28.35,41.37,-0.6329,0.3392,-0.9082
19.355,91.98,40.6,28.84,-0.4763,-0.0171,-0.7647
19.462,54.25,42.07,3.43,-0.5363,-0.3967,-0.7852
19.569,4.41,35.35,-22.47,-0.4148,-0.3548,-0.7466
19.676,-14.49,-4.55,-3.01,-0.2987,-0.306,-0.7178
