timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
0.546,2.45,-1.54,0.21,1.0267,-0.0356,-0.0366
0.561,2.52,-1.47,0.21,1.0247,-0.037,-0.037
0.575,2.24,-1.47,0.14,1.0267,-0.0356,-0.038
0.589,2.31,-1.4,0.07,1.0233,-0.0366,-0.0375
0.607,2.38,-1.47,0.21,1.0257,-0.0356,-0.037
0.636,2.38,-1.4,0.07,1.0252,-0.0361,-0.038
0.653,2.52,-1.54,0.07,1.0252,-0.0356,-0.037
0.668,2.45,-1.4,0.14,1.0252,-0.0336,-0.0341
0.684,2.45,-1.4,0.07,1.0223,-0.0361,-0.0351
0.702,2.31,-1.47,0.14,1.0257,-0.0361,-0.0361
0.72,2.52,-1.4,0.14,1.0238,-0.0361,-0.0366
0.738,2.38,-1.47,0.07,1.0243,-0.0341,-0.0361
0.756,2.45,-1.47,0.07,1.0252,-0.0336,-0.0385
0.773,2.38,-1.4,0.07,1.0252,-0.0361,-0.0375
0.789,2.38,-1.47,0.14,1.0262,-0.0346,-0.038
0.807,2.45,-1.54,0.14,1.0252,-0.0356,-0.0366
0.823,2.38,-1.47,-0.07,1.0238,-0.0356,-0.0351
0.84,2.45,-1.47,0.07,1.0243,-0.0341,-0.0375
0.856,2.31,-1.47,0.07,1.0247,-0.0341,-0.0356
0.872,2.52,-1.47,0.14,1.0252,-0.0346,-0.0375
0.891,2.38,-1.47,0.14,1.0262,-0.0341,-0.0375
0.909,2.52,-1.47,0.0,1.0243,-0.0346,-0.0361
0.925,2.45,-1.47,0.07,1.0238,-0.0331,-0.0356
0.939,2.45,-1.47,0.0,1.0252,-0.0356,-0.038
0.954,2.52,-1.47,0.07,1.0272,-0.0351,-0.037
0.969,2.45,-1.47,0.0,1.0243,-0.0336,-0.0356
0.987,2.45,-1.47,0.14,1.0247,-0.0331,-0.037
1.003,2.38,-1.47,0.14,1.0257,-0.0346,-0.0356
1.02,2.38,-1.4,0.14,1.0252,-0.0366,-0.0351
1.037,2.38,-1.47,0.0,1.0267,-0.0341,-0.0356
1.055,2.52,-1.4,0.14,1.0247,-0.0351,-0.037
1.07,2.52,-1.47,0.14,1.0228,-0.0351,-0.0361
1.088,2.24,-1.47,0.21,1.0233,-0.0361,-0.0366
1.103,2.31,-1.4,0.07,1.0247,-0.0341,-0.038
1.118,2.52,-1.54,0.07,1.0238,-0.0336,-0.0375
1.134,2.31,-1.47,0.07,1.0243,-0.0375,-0.038
1.151,2.38,-1.4,0.14,1.0272,-0.0351,-0.0361
1.169,2.45,-1.47,0.14,1.0238,-0.0336,-0.038
1.187,2.38,-1.54,0.14,1.0257,-0.0346,-0.0351
1.203,2.38,-1.47,0.14,1.0252,-0.0336,-0.0356
1.219,2.52,-1.4,0.07,1.0247,-0.0331,-0.0375
1.237,2.45,-1.47,0.14,1.0247,-0.0346,-0.0366
1.254,2.52,-1.47,0.14,1.0247,-0.0336,-0.0356
1.272,2.59,-1.47,0.21,1.0247,-0.0351,-0.0375
1.286,2.45,-1.47,0.0,1.0243,-0.0341,-0.037
1.299,2.31,-1.4,0.07,1.0272,-0.0336,-0.0375
1.315,2.31,-1.47,0.07,1.0267,-0.0351,-0.0375
1.331,2.45,-1.4,0.07,1.0228,-0.0356,-0.0356
1.346,2.52,-1.47,0.14,1.0247,-0.0351,-0.0366
1.377,2.45,-1.47,0.14,1.0238,-0.0326,-0.0351
1.392,2.45,-1.47,0.14,1.0257,-0.0336,-0.0361
1.41,2.45,-1.4,0.14,1.0252,-0.0341,-0.0366
1.425,2.38,-1.47,0.21,1.0247,-0.0341,-0.0351
1.441,2.31,-1.4,0.0,1.0243,-0.0356,-0.037
1.455,2.59,-1.4,0.07,1.0252,-0.0356,-0.037
