timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
0.713,-42.07,-4.62,25.62,1.1541,-0.1293,-0.1073
0.728,-43.96,-6.65,23.8,1.1633,-0.1381,-0.1161
0.745,-45.85,-9.17,21.0,1.1521,-0.1439,-0.118
0.761,-47.81,-10.92,17.15,1.1341,-0.1629,-0.1215
0.777,-49.7,-12.04,12.11,1.1224,-0.162,-0.1268
0.794,-51.73,-12.6,7.28,1.0901,-0.1483,-0.1405
0.812,-52.85,-13.09,2.17,1.0604,-0.1063,-0.1356
0.828,-53.13,-13.16,-1.4,1.0306,-0.0756,-0.1307
0.844,-52.57,-13.58,-2.52,1.0233,-0.06,-0.1234
0.86,-51.66,-13.72,-0.91,1.0267,-0.0619,-0.1254
0.874,-50.61,-13.86,1.47,1.0028,-0.0624,-0.118
0.892,-49.4199,-13.23,4.27,0.9803,-0.0688,-0.118
0.91,-47.95,-12.25,6.86,0.9476,-0.0644,-0.1044
0.923,-46.97,-10.78,11.2,0.9428,-0.0941,-0.0863
0.937,-47.6,-8.33,27.37,0.911,-0.1854,-0.1039
0.951,-49.28,-5.11,53.27,0.9052,-0.2693,-0.1327
0.983,-56.35,2.1,81.62,1.0506,-0.3303,-0.2103
1.0,-58.24,3.01,71.47,1.1785,-0.2605,-0.1956
1.015,-57.33,2.94,58.45,1.159,-0.2518,-0.2039
1.03,-55.37,1.89,39.62,1.1428,-0.1956,-0.2117
1.046,-52.22,1.61,21.84,1.0545,-0.1244,-0.2083
1.064,-48.86,1.54,0.63,1.0467,-0.0668,-0.1595
1.079,-45.29,1.75,-11.13,1.0418,-0.0112,-0.1786
1.096,-41.37,0.98,-21.77,1.0301,-0.0078,-0.2366
1.114,-37.94,0.0,-27.65,0.9857,-0.0483,-0.2723
1.128,-36.54,-0.14,-29.82,0.914,-0.1078,-0.2781
1.146,-36.68,1.12,-29.12,0.8579,-0.1556,-0.2937
1.164,-38.57,3.5,-24.43,0.8188,-0.1527,-0.301
1.181,-39.62,6.51,-14.98,0.7847,-0.1839,-0.284
1.199,-41.02,10.36,1.47,0.7905,-0.2947,-0.2449
1.214,-41.86,13.93,19.4599,0.772,-0.3054,-0.2371
1.23,-42.35,17.43,33.18,0.7603,-0.2903,-0.2415
1.246,-42.84,21.28,37.8,0.7866,-0.2679,-0.2532
1.262,-43.82,24.15,35.0,0.8437,-0.2308,-0.2684
1.278,-44.52,25.9,25.76,0.9101,-0.1932,-0.2854
1.291,-45.0099,26.53,15.68,0.9369,-0.1737,-0.2737
1.306,-45.36,26.25,5.53,0.9691,-0.1454,-0.2625
1.32,-45.29,24.64,-3.85,1.0125,-0.1049,-0.2561
1.334,-44.45,22.68,-11.41,1.0282,-0.0712,-0.2493
1.348,-43.4,19.74,-16.59,1.0409,-0.0444,-0.2405
1.364,-42.21,16.66,-19.04,1.0252,-0.0405,-0.2464
1.379,-40.6,13.72,-18.2,1.0018,-0.0331,-0.2342
1.396,-39.34,10.92,-13.72,0.993,-0.0546,-0.2278
1.413,-38.71,7.49,-8.61,0.953,-0.0688,-0.2181
1.429,-38.29,6.37,-3.15,0.8862,-0.0766,-0.2054
1.458,-38.43,5.6,3.22,0.8183,-0.0463,-0.1498
1.474,-38.57,6.23,5.53,0.8247,-0.0409,-0.1205
1.492,-38.78,6.86,7.21,0.8466,-0.0107,-0.1083
1.51,-37.1699,7.07,6.51,0.8813,0.0771,-0.1166
1.525,-34.58,6.86,4.9699,0.9257,0.119,-0.121
1.54,-31.64,6.79,4.06,0.9506,0.1468,-0.1161
1.555,-28.56,6.65,4.9,0.9652,0.1068,-0.0976
1.571,-25.34,6.23,5.67,1.013,0.1483,-0.1122
1.587,-21.77,5.81,5.88,1.0409,0.1956,-0.1229
1.602,-18.76,5.46,7.0,1.0257,0.1542,-0.1127
1.62,-15.75,5.6,9.87,1.0189,0.0888,-0.0976
1.637,-14.14,6.09,11.97,1.0228,0.0585,-0.0912
1.655,-13.23,7.14,12.46,1.0121,0.0346,-0.0751
1.671,-12.88,8.82,11.34,1.0062,0.0219,-0.0624
1.689,-12.39,10.29,8.05,0.9813,0.0375,-0.0317
1.703,-11.34,12.53,5.04,0.9652,0.0766,-0.0268
1.721,-8.33,14.77,1.89,0.9642,0.1166,-0.0087
1.735,-5.67,16.17,0.07,1.0111,0.1293,-0.0063
1.75,-2.17,16.73,0.49,1.095,0.16,-0.0326
1.765,3.08,15.89,5.32,1.2253,0.1215,-0.0658
1.781,7.21,12.81,16.87,1.3624,-0.0463,-0.1019
1.797,11.06,8.75,27.51,1.4322,-0.1351,-0.1473
1.811,13.23,4.2,29.82,1.4117,-0.1634,-0.1654
1.829,15.4,0.28,21.7,1.3644,-0.1571,-0.1747
1.847,16.59,-2.52,5.04,1.2644,-0.1995,-0.181
1.864,16.8,-4.76,-8.96,1.2434,-0.241,-0.1991
1.88,16.66,-6.93,-18.9,1.2404,-0.2771,-0.2435
1.898,16.73,-9.7299,-26.18,1.2165,-0.2991,-0.2796
1.915,16.59,-12.04,-32.97,1.1092,-0.2644,-0.2908
1.931,16.3799,-12.88,-42.77,0.9974,-0.2147,-0.2874
1.947,16.17,-12.74,-52.08,0.8598,-0.1908,-0.2801
1.963,15.47,-11.55,-56.77,0.7705,-0.2025,-0.261
1.979,14.0,-9.38,-57.26,0.7051,-0.2303,-0.2762
1.996,11.4799,-7.0,-51.66,0.7022,-0.3167,-0.2884
2.012,7.49,-4.76,-39.2,0.7193,-0.405,-0.3015
2.029,3.01,-3.01,-19.25,0.7671,-0.3855,-0.3103
2.046,-2.17,-1.89,3.71,0.8037,-0.4606,-0.282
2.063,-7.56,-1.05,28.28,0.8535,-0.5177,-0.2591
2.08,-13.44,-0.35,49.91,0.8891,-0.5299,-0.2396
2.096,-17.36,0.42,63.77,0.9057,-0.5099,-0.2269
2.112,-21.6299,1.61,68.11,0.8788,-0.4601,-0.1986
2.128,-24.57,3.71,62.3,0.8574,-0.4138,-0.1664
2.141,-27.86,5.81,52.92,0.8466,-0.3484,-0.1459
2.157,-30.52,8.1899,35.63,0.8481,-0.3006,-0.1332
2.173,-33.32,9.8,14.91,0.8808,-0.1947,-0.1488
2.189,-35.49,10.5,-2.38,0.9398,-0.1693,-0.1688
2.204,-37.52,10.22,-17.15,0.9886,-0.1878,-0.1839
2.218,-39.62,9.1,-24.29,1.0047,-0.2025,-0.179
2.234,-41.86,8.05,-26.81,1.0052,-0.1859,-0.1683
2.249,-44.52,6.65,-25.69,0.9984,-0.1805,-0.1473
2.267,-47.11,5.6,-21.07,0.9935,-0.2005,-0.1376
2.282,-51.38,4.41,-14.35,0.9901,-0.2288,-0.1239
2.312,-60.2,3.57,-2.8,0.9437,-0.2464,-0.1195
2.328,-64.89,3.99,-0.07,0.9081,-0.1844,-0.1029
2.341,-68.81,4.83,2.17,0.893,-0.2064,-0.0883
2.355,-73.22,5.32,3.64,0.9052,-0.2196,-0.0702
2.369,-77.63,5.6,3.64,0.9486,-0.2308,-0.0692
2.383,-81.48,5.6,3.08,0.9808,-0.2542,-0.0663
2.397,-85.89,5.18,3.29,1.0077,-0.2332,-0.0517
2.426,-90.79,3.5,10.64,1.0062,-0.0717,-0.0331
2.441,-90.79,2.8,17.36,1.014,-0.0097,-0.0214
2.455,-89.74,2.17,22.19,1.0247,0.0483,-0.0092
2.471,-87.01,1.19,24.78,1.0633,0.0907,-0.0195
2.485,-84.14,0.28,25.62,1.0687,0.0951,-0.0419
2.5,-81.2,-0.77,22.68,1.097,0.1185,-0.0561
2.515,-77.7699,-1.47,18.1299,1.1145,0.1312,-0.0634
2.531,-75.04,-2.38,13.16,1.135,0.0956,-0.0605
2.549,-72.87,-3.15,7.56,1.1575,0.079,-0.0673
2.567,-69.0199,-5.81,3.08,1.1809,0.0976,-0.078
2.583,-66.78,-8.54,0.77,1.2463,0.0224,-0.0941
2.598,-66.08,-10.92,-0.35,1.2766,-0.0492,-0.1151
2.614,-66.71,-13.44,-2.94,1.2683,-0.0863,-0.1185
2.629,-68.04,-14.77,-5.67,1.2322,-0.1088,-0.0961
2.643,-69.86,-15.47,-6.51,1.2073,-0.1424,-0.0858
2.661,-72.31,-16.17,-5.7399,1.2141,-0.1888,-0.0985
2.679,-77.14,-16.66,0.28,1.2131,-0.261,-0.1122
2.696,-80.85,-16.73,9.31,1.177,-0.2464,-0.1034
2.712,-83.0199,-16.52,20.02,1.1648,-0.2649,-0.0951
2.73,-84.8399,-16.31,30.1,1.1843,-0.2576,-0.1283
2.748,-86.66,-16.94,33.32,1.1785,-0.2147,-0.1776
2.765,-86.03,-17.08,31.01,1.0413,-0.1288,-0.1756
2.781,-84.35,-17.01,24.29,0.8998,-0.0634,-0.1639
2.795,-82.39,-17.01,15.05,0.8452,0.0429,-0.1561
2.813,-79.94,-17.01,-2.31,0.8081,0.0287,-0.162
2.831,-78.75,-16.1,-35.84,0.6919,-0.0331,-0.1786
2.849,-77.91,-13.79,-31.64,0.6251,-0.0351,-0.1873
2.867,-77.49,-10.29,-36.68,0.5924,-0.1019,-0.14
2.885,-77.91,-7.21,-33.32,0.6139,-0.1093,-0.1166
2.898,-78.26,-4.41,-25.41,0.6636,-0.1322,-0.1151
2.915,-78.61,-0.98,-12.6,0.6905,-0.1493,-0.1171
2.93,-78.82,1.96,1.96,0.7593,-0.142,-0.1351
2.944,-78.54,4.62,15.05,0.8559,-0.1083,-0.1449
2.961,-76.93,6.37,29.75,0.9472,-0.0639,-0.1551
2.979,-73.78,7.28,42.07,1.0433,-0.0175,-0.179
2.995,-69.93,7.28,47.25,1.1067,0.0458,-0.183
3.009,-66.43,7.0,47.74,1.0765,0.0746,-0.1683
