timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.571,-28.63,148.61,-845.6,1.0921,-1.0092,-0.3972
2.744,43.19,97.58,-344.89,-0.9165,0.9145,-0.4529
2.822,4.2,50.54,-35.63,-0.6651,0.7369,-0.3689
2.985,-134.75,0.14,-135.59,-0.5305,0.5656,0.3738
3.107,-130.27,-38.36,-44.87,-0.4041,0.3792,0.49
3.23,-47.18,-69.44,51.59,-1.1122,0.7086,0.4992
3.342,-1.82,-75.6,-93.24,-0.8208,1.0087,0.9975
3.361,5.39,-57.47,50.96,-0.9697,1.2122,0.937
3.378,5.81,-32.13,-46.27,-1.0131,1.0394,1.097
3.53,44.59,-26.81,-4.9,-0.0166,0.61,0.3621
3.642,49.77,-50.4,-42.98,-0.3797,0.6403,0.5739
3.723,73.29,-36.47,-54.18,-0.5978,0.6471,0.6222
3.882,126.35,-43.68,-155.54,-0.53,0.9174,0.4856
3.968,155.19,-38.29,-19.95,-0.8984,0.4817,0.2777
4.124,151.06,-12.53,-78.12,-0.4333,0.8428,0.063
4.205,206.22,-16.45,-18.06,-0.4504,0.978,0.0459
4.362,238.56,-76.65,68.25,-0.3948,1.0941,-0.1469
4.442,284.55,-109.2,145.04,-0.6798,1.7124,-0.141
4.602,300.58,-211.68,184.38,-0.3709,0.9887,0.345
4.683,227.64,-231.84,103.67,-0.3616,0.468,0.3475
4.841,114.94,-143.64,168.07,-0.6939,0.6368,-0.3938
4.922,51.8,13.58,45.5,-0.9804,0.6202,-0.7388
5.047,-69.72,194.18,-201.46,-0.6251,1.0346,-0.5544
5.143,-172.06,207.41,-144.13,-0.4094,0.6071,-0.081
5.224,-240.17,174.23,-126.21,-0.3216,0.608,-0.4577
5.448,-209.79,81.76,-12.39,-0.2059,0.6666,-0.4465
5.525,-230.93,47.74,-41.51,-0.2913,0.8096,-0.162
5.685,-125.09,50.89,9.52,-0.7305,0.9179,0.4216
5.766,-99.68,54.6,-177.1,-1.2351,0.5309,0.4109
5.928,14.07,-60.13,123.9,-0.7047,-0.0259,0.8955
6.108,8.19,-45.22,68.32,-0.507,0.5168,0.8374
6.225,-22.75,13.79,-44.45,-0.3465,0.49,0.569
6.344,-26.6,18.27,-2.17,-0.4939,0.6281,0.6627
6.467,1.05,4.34,52.36,-0.7515,0.3626,0.6852
6.586,-1.82,25.83,20.72,-0.673,0.3821,0.608
6.703,-22.75,38.85,-20.16,-0.6866,0.4577,0.5461
6.737,-16.38,20.37,-7.63,-0.731,0.4699,0.5192
6.825,-10.08,15.26,-18.34,-0.7169,0.5041,0.5417
6.882,20.86,-8.68,28.0,-0.7305,0.5383,0.6256
6.969,6.58,-0.14,26.18,-0.6061,0.4089,0.6066
7.124,-11.06,16.94,-4.55,-0.3689,0.6178,0.692
7.202,-0.49,7.63,2.38,-0.3284,0.5954,0.6412
7.423,33.53,-26.04,2.59,-0.5412,0.6349,0.5109
7.518,16.59,-11.34,20.58,-0.6212,0.6329,0.5563
7.565,9.45,1.33,24.22,-0.4568,0.4802,0.5646
7.724,11.48,-0.28,-23.45,-0.1752,0.6812,0.5729
7.802,29.33,-23.38,-28.7,-0.3963,0.9243,0.6442
7.964,9.87,-50.61,-38.15,-0.6183,0.5939,0.3401
8.043,-39.48,-26.95,-62.02,-0.7657,0.6407,0.4006
8.202,-47.46,-38.57,-32.76,-0.6183,1.0756,0.7408
8.283,-2.24,-47.67,-81.06,-0.5144,0.59,0.8037
8.445,39.06,-18.06,-73.43,0.0654,0.4046,0.7418
8.523,31.64,-33.81,-23.1,0.1166,0.022,0.5183
8.745,30.52,27.44,103.6,-0.8882,-0.0927,0.7881
8.838,-30.52,13.65,-11.34,-0.2674,0.0512,0.5636
8.885,-24.15,-25.2,-28.84,-0.6666,0.2474,0.7154
9.003,44.31,-16.03,-59.15,-0.6539,0.4738,1.5016
9.123,58.03,-27.44,-39.62,-0.0278,-0.1732,0.669
9.221,9.94,-6.02,-65.03,-0.6969,0.0586,0.8603
9.369,102.69,26.32,-59.36,-0.7286,0.2474,0.7554
9.524,244.37,117.95,-133.35,-1.2644,1.0936,0.142
9.603,317.45,143.64,-143.99,-0.8794,1.1356,0.1157
9.765,428.12,-10.5,84.77,-0.9926,0.9809,0.4319
9.842,395.78,-103.67,194.6,-0.9287,0.5905,0.4426
10.002,216.37,-148.19,154.28,-0.6466,0.8203,-0.6661
10.149,72.45,-83.79,265.51,-0.2952,0.9604,-4.9371
10.306,-54.81,430.5,4.76,-2.3219,1.1165,-4.7565
10.383,-1430.9399,1033.62,-1165.29,-3.6078,-2.4068,9.7273
10.548,112.91,-86.03,318.43,-0.7218,3.1432,-3.4819
10.628,419.16,-19.6,385.49,-1.9622,-0.5065,-1.5201
10.782,389.48,13.86,165.48,-1.4708,0.9887,-0.0888
10.868,538.93,7.49,175.14,-1.0087,1.689,0.8672
11.023,771.12,-480.76,274.26,-0.4768,2.197,2.0091
11.108,541.66,-647.99,263.83,-1.4611,0.509,1.1273
11.329,-98.7,93.73,-185.78,-0.5714,0.4568,-1.6763
11.407,-153.58,255.92,-158.13,-1.405,1.5406,-1.0546
11.562,-233.52,581.56,-223.93,-1.2249,0.3914,0.0273
11.704,-586.6,53.9,-590.8,-0.7266,1.4401,0.5075
