timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.399,2.31,-1.61,-0.21,-0.996,0.0425,0.1069
2.567,2.31,-1.61,-0.21,-0.9989,0.0429,0.1069
2.645,2.1,-1.61,-0.14,-0.996,0.0429,0.1059
2.867,2.17,-1.61,-0.21,-0.995,0.041,0.1069
2.944,2.24,-1.61,-0.21,-0.9965,0.041,0.1049
3.105,2.24,-1.47,-0.14,-0.9975,0.0425,0.1064
3.187,2.1,-1.68,-0.14,-0.997,0.042,0.1069
3.405,-10.64,18.41,4.34,-1.8066,-0.6593,0.3338
3.491,-28.84,40.67,-1.61,-2.5117,0.2679,0.1845
3.601,-11.76,-4.13,27.23,-1.0336,-0.02,0.0293
3.706,-11.27,-3.29,-7.77,-1.462,-0.0239,0.2718
3.826,-29.26,-6.93,-32.9,-0.9658,0.0239,0.1645
3.946,-31.01,-46.76,-5.67,-1.2205,0.1015,0.4338
4.067,-26.39,-52.08,19.04,-1.3152,-0.0771,0.3738
4.183,-29.12,-9.59,2.59,-1.1336,-0.1874,0.2435
4.221,-34.16,8.82,3.15,-1.0951,-0.1039,0.2015
4.25,-32.34,10.85,1.33,-1.2503,0.2098,0.2133
4.303,-19.81,28.7,33.32,-1.0687,-0.205,0.2352
4.382,-38.15,33.53,40.18,-0.7891,-0.0986,0.0249
4.428,-17.22,47.95,114.87,-1.2517,0.4802,-0.0039
4.545,11.9,35.56,161.0,-0.5144,-0.1244,0.2377
4.669,-4.13,5.67,-65.17,-0.9823,0.0942,0.0903
4.85,-19.18,-24.85,-28.84,-0.9296,0.1859,0.143
4.905,9.8,0.7,-7.0,-0.7862,0.0273,0.0673
4.965,19.67,-0.14,-29.75,-0.9057,0.0771,0.1781
5.028,31.85,9.38,-21.98,-0.8067,-0.0283,0.1898
5.086,41.93,10.15,8.82,-0.7998,0.0112,0.1884
5.145,50.68,12.67,28.07,-0.7427,-0.0712,0.1596
5.205,53.55,7.49,43.47,-0.8062,-0.0346,0.1874
5.265,53.34,-2.38,28.56,-0.5895,-0.1947,0.1688
5.325,45.15,-9.59,4.69,-0.9414,-0.041,0.1962
5.385,39.69,-15.68,-28.0,-0.977,0.0766,0.1069
5.445,49.49,-4.97,-35.42,-1.0804,0.0429,0.0425
5.505,58.45,-0.42,-20.58,-1.1141,0.1322,0.0947
5.565,69.65,-0.84,-18.27,-1.1366,0.2025,0.1484
5.625,89.04,0.14,23.59,-0.7764,0.0078,0.0761
5.746,85.82,-26.53,-12.04,-1.0985,-0.4231,0.202
5.869,67.06,-25.48,-39.27,-1.1341,-0.0229,0.2611
5.99,47.53,-9.38,13.72,-1.2678,-0.0952,0.205
6.106,18.34,-3.29,-3.71,-1.0819,0.1362,0.1864
6.227,36.26,2.1,-11.06,-0.9306,0.1566,0.2094
6.407,57.68,9.94,12.67,-0.9496,-0.1152,0.2298
6.526,36.33,-5.32,-35.98,-1.1673,0.0981,0.2079
6.65,51.03,-4.76,-3.92,-1.0843,0.0966,0.2367
6.824,61.11,8.96,3.36,-0.651,-0.122,0.0371
6.863,50.96,5.88,-1.61,-0.7515,-0.1327,0.0903
6.884,42.14,2.8,-30.17,-0.7828,-0.1581,0.12
7.005,32.97,-0.98,-22.61,-1.0277,-0.1342,0.2689
7.187,11.83,-31.01,1.26,-1.1614,-0.062,0.2762
7.311,3.15,-25.55,2.87,-0.8774,0.0908,0.163
7.488,19.39,17.43,8.82,-0.9687,0.002,0.1713
7.604,12.74,24.64,-28.77,-0.9877,0.0576,0.0717
7.638,29.4,19.39,1.82,-1.0985,-0.0669,0.1581
7.665,23.66,5.6,-20.86,-1.2517,-0.2479,0.2435
7.748,23.94,1.82,-13.23,-1.0297,-0.0883,0.1474
7.905,28.91,-3.57,1.47,-0.6705,-0.1625,0.04
7.983,21.49,-3.36,-18.2,-0.7915,-0.1615,0.1669
8.086,7.21,-7.07,0.77,-0.9335,-0.1313,0.2015
8.206,-6.02,-16.66,9.31,-1.5079,0.1327,0.1635
8.326,-7.56,0.35,10.01,-1.0887,-0.0005,0.0898
8.446,-20.02,-0.49,-32.27,-0.7237,0.0566,0.102
8.563,-6.65,-3.08,25.2,-0.9428,0.0371,0.2001
8.583,-5.53,-7.21,-14.42,-1.0087,0.0303,0.1918
8.604,1.54,-2.59,-9.52,-1.1078,0.0259,0.1928
8.659,11.97,7.7,-8.54,-1.2693,0.019,0.1274
8.805,13.58,13.3,-17.22,-1.0214,-0.062,0.0264
8.949,27.72,7.35,48.51,-0.71,-0.0859,0.0312
9.061,-3.29,-18.48,-36.12,-0.834,-0.2464,0.0459
9.167,-10.85,-19.04,-26.46,-1.0692,-0.1254,0.2103
9.29,-14.91,-20.44,6.65,-1.3654,0.0669,0.1708
9.41,-7.63,-2.73,13.16,-0.9526,0.0332,0.0532
9.531,-1.75,4.48,5.53,-0.7598,0.0444,0.0322
9.646,1.33,-7.35,-3.71,-0.9921,0.0176,0.1157
9.766,9.94,-7.7,27.16,-1.2185,0.0747,0.1703
9.886,25.69,12.88,4.06,-1.1346,-0.0893,0.021
10.009,25.9,6.37,7.98,-0.7969,-0.1044,0.1039
10.127,23.38,-2.8,-7.28,-0.874,-0.1459,0.1596
10.306,27.79,-2.52,-17.71,-1.4113,0.0327,0.0976
10.427,21.28,-2.73,-32.97,-1.2078,0.2308,0.039
10.551,25.76,12.74,10.22,-0.7052,0.0488,0.103
10.666,49.14,-28.77,27.44,-0.8896,0.1,0.2503
10.786,62.3,-30.52,9.03,-1.1614,-0.0234,0.2235
10.905,51.66,-23.1,-23.52,-1.1893,0.0478,0.2406
11.029,47.95,-14.63,-20.02,-0.8525,-0.0786,0.1537
11.145,26.95,8.4,-35.56,-0.733,-0.0547,0.163
11.207,21.35,15.68,-24.43,-0.7652,-0.0893,0.1967
11.267,16.87,9.03,-8.89,-0.9862,-0.0761,0.2816
11.446,11.62,5.11,3.15,-1.1326,-0.0122,0.2069
11.571,-15.61,-11.76,-17.85,-1.0521,0.0293,0.1513
11.811,-11.27,5.95,-7.42,-1.0721,0.0127,0.1679
11.923,20.86,1.05,-1.82,-1.2342,0.0264,0.1552
11.961,19.6,0.98,-19.18,-1.1458,0.0903,0.2113
11.991,26.39,11.69,-10.85,-0.9233,-0.0317,0.0786
12.045,31.43,6.72,17.5,-1.0692,-0.1591,0.08
12.126,31.36,10.43,-13.23,-0.8701,-0.0517,0.0654
12.29,13.58,-2.17,-12.25,-0.7213,-0.1737,0.0917
12.364,-1.33,-13.3,-1.61,-1.0795,-0.1298,0.1874
12.525,11.48,-14.84,24.5,-1.1058,0.1215,0.0942
12.664,20.51,-6.86,-11.55,-1.0287,0.0854,-0.0098
12.884,47.46,6.23,27.58,-0.9848,0.0576,0.1225
12.966,47.46,8.26,1.68,-1.1131,0.0732,0.1786
13.067,49.07,3.5,-4.55,-0.9823,0.0698,0.1484
13.141,45.43,-4.69,-18.06,-1.0287,0.063,0.1196
13.186,50.05,-1.54,-34.93,-1.1805,0.1649,0.1405
13.307,60.9,-0.14,-6.44,-0.9038,-0.1108,0.0747
13.427,55.3,-11.41,19.74,-0.9189,0.0849,0.0298
13.546,62.65,14.07,27.02,-1.0028,0.0893,0.1391
13.606,69.51,-29.33,53.41,-0.9228,-0.0996,0.0703
13.667,68.04,-57.68,21.35,-1.1561,-0.124,0.0732
13.787,56.77,-31.78,-46.83,-0.9701,0.0083,-0.0283
13.972,80.99,31.01,5.39,-0.9096,0.1591,-0.0224
14.09,78.26,8.26,22.75,-0.9853,0.1898,-0.0869
14.207,68.04,2.31,17.64,-0.9565,0.2474,-0.0449
14.387,71.26,10.85,16.45,-0.9399,0.3748,-0.1371
14.506,84.14,33.11,28.63,-0.8716,0.2762,-0.2406
14.624,82.25,24.99,34.3,-0.9282,0.5109,-0.3567
14.658,101.64,23.17,20.23,-0.9736,0.529,-0.3806
14.686,123.27,30.17,46.13,-0.9936,0.49,-0.3767
14.767,126.0,24.08,76.3,-0.9784,0.2982,-0.3841
14.927,74.48,6.3,26.88,-0.8672,0.2674,-0.4929
15.003,64.4,13.02,40.32,-0.9013,0.2586,-0.4324
15.226,43.82,19.32,23.38,-0.8979,0.1601,-0.5505
15.304,35.14,23.94,-10.43,-0.7388,0.2152,-0.6978
15.469,-1.4,-0.63,-7.98,-0.7388,0.1025,-0.7144
15.545,1.68,-7.07,-12.53,-0.4241,-0.0415,-0.7564
15.709,-26.6,3.29,16.38,-0.4914,-0.2679,-0.3279
15.784,26.11,68.74,35.98,0.3748,0.5602,-0.9614
15.946,41.3,45.5,86.87,-1.0609,0.225,-1.1063
16.023,54.81,91.07,80.22,-0.6461,-0.0049,-0.4553
16.066,27.58,47.53,59.64,-0.0361,-0.0288,-0.9306
16.189,-16.66,-11.13,-3.64,-0.3562,0.3523,-0.9013
16.306,-27.93,-33.6,-20.16,0.9433,0.0512,-2.0315
16.429,14.63,7.84,-0.49,-0.2733,0.1132,-0.7886
16.549,28.84,-18.9,30.03,-0.3836,0.1947,-1.0921
16.666,17.99,-22.26,14.49,-0.2094,0.3172,-0.9335
16.783,24.99,10.57,-24.36,-0.2972,0.3187,-0.998
16.8,3.15,-35.63,41.79,-0.3167,0.3211,-0.9326
16.817,-5.39,-36.19,-1.47,-0.4104,0.2098,-0.8735
16.864,-19.53,-23.31,-30.31,-0.4812,0.1484,-0.8725
17.026,-59.15,16.38,-65.94,-1.1297,0.5339,-0.3065
17.105,-0.91,20.23,101.29,0.3182,0.3665,-0.9048
17.263,-46.13,-34.93,276.57,-0.4846,0.6544,-0.8096
17.343,-56.07,8.54,322.07,-0.2386,0.6944,-0.8882
17.386,-59.43,20.23,275.17,0.1469,0.7037,-0.8481
17.449,-59.36,24.71,250.95,0.0986,0.3553,-0.9179
17.687,-77.0,56.56,-45.15,0.1801,0.7422,-0.6359
17.866,-0.49,7.56,-113.89,0.0034,0.8979,-0.6349
17.987,114.38,-23.1,-65.94,-0.2323,0.7945,-0.6227
18.112,120.54,-25.76,-58.45,-0.2908,0.6608,-0.8008
18.226,72.94,-25.9,-52.15,-0.3558,0.6046,-0.7881
18.35,40.39,-7.84,-57.05,-0.4246,0.1035,-0.673
18.367,-32.48,23.38,-39.34,-0.385,0.1283,-0.693
18.463,-82.32,3.78,-83.65,-0.1191,0.1713,-1.1546
18.544,-114.8,-18.97,-47.18,-0.3592,0.3738,-0.7554
18.703,-150.92,-49.84,-6.86,-0.4651,0.5685,-0.6886
18.786,-148.33,-36.75,4.27,-0.5148,0.6944,-0.5007
18.849,-146.44,-26.25,-3.29,-0.5124,0.7515,-0.4592
19.003,-129.85,10.5,37.31,-0.5139,0.9716,-0.1771
19.088,-72.38,34.02,57.68,-0.5924,0.8711,-0.0176
19.261,12.88,11.06,17.85,-1.3571,0.8696,0.4543
19.369,10.99,8.26,-12.67,-0.4421,0.9199,0.1532
19.486,4.76,12.88,23.24,-0.4299,0.7867,0.1649
19.546,6.16,1.19,31.71,-0.4085,0.9067,0.1039
19.666,0.98,8.89,5.25,-0.4675,0.8823,0.0937
19.786,5.95,18.69,-27.3,-1.5221,0.6681,-0.3806
