timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.331,1.05,3.15,-18.83,0.0142,-1.0575,-1.0673
2.399,1.54,-14.21,46.97,0.4031,-0.3987,-0.7437
2.623,-17.99,-27.09,70.35,-0.2069,-0.6163,-0.6759
2.864,-24.43,-27.37,55.37,0.3357,-0.4246,-1.1131
2.985,-6.16,-58.94,-70.91,0.2542,-0.5915,-0.8911
3.104,-3.85,-52.43,-46.69,0.3787,-0.5344,-0.5397
3.22,-17.92,-52.71,-66.43,0.5309,-0.5348,-0.6295
3.238,-24.15,-73.92,-102.69,0.5656,-0.5802,-0.6373
3.255,-24.64,-87.57,-136.71,0.5534,-0.6207,-0.6359
3.302,-20.79,-104.23,-160.79,0.3787,-0.6271,-0.6578
3.464,1.12,-40.88,-167.86,-0.203,-0.6349,-0.7388
3.541,4.76,-38.43,-80.01,0.0971,-0.3953,-0.9965
3.702,-9.73,-29.47,-52.36,-0.2318,-0.3802,-0.7808
3.786,-19.32,-23.8,-34.02,-0.08,-0.3797,-0.9272
3.942,-14.35,-21.98,-141.12,-0.1225,-0.5583,-1.1287
4.026,2.94,-32.83,-113.26,-0.063,-0.6529,-0.9292
4.182,-7.14,-67.13,-86.1,-0.2655,-0.5309,-0.6705
4.277,-8.47,-71.12,-103.04,-0.0322,-0.4055,-0.7842
4.425,-20.3,-71.4,-134.33,-0.1713,-0.5954,-0.8862
4.503,-45.57,-42.14,-23.24,-0.5339,-0.7544,-1.1048
4.664,-120.61,28.77,-138.04,0.3714,-0.4768,-0.752
4.783,-131.39,-33.25,-76.86,-0.0678,-0.1205,-0.7525
4.902,-125.09,-49.42,-103.04,-0.4294,0.2567,-0.6925
5.021,-67.62,-27.93,-14.35,-0.346,0.1542,-0.876
5.055,-67.55,-29.54,-26.18,-0.263,0.2484,-0.8789
5.145,-71.82,-40.18,-44.87,-0.3611,0.2752,-0.7813
5.202,-69.44,-103.32,-98.07,-0.4592,0.2538,-0.6852
5.286,-48.02,-115.5,-122.99,-1.2234,0.3933,-0.2201
5.442,4.48,-78.96,-80.78,-1.0472,0.5295,-0.0478
5.526,73.22,-85.82,-143.64,-0.8037,0.1684,-0.0229
5.685,71.05,-93.38,-176.05,-0.2411,-0.6261,0.2625
5.762,35.0,-133.14,-220.78,-0.6583,-0.5778,0.1044
5.924,-55.02,-78.26,-248.85,-0.3172,-2.2111,0.468
6.001,-11.69,-42.98,1.89,-0.1947,-0.5783,0.5646
6.162,42.7,-57.05,-160.23,0.1932,-0.7178,0.3811
6.285,27.16,-49.42,-211.61,0.5305,-0.7652,0.285
6.403,-37.94,-79.73,-116.69,0.7857,-0.5563,0.4314
6.583,-64.47,-109.62,97.02,0.6832,-0.4973,0.307
6.706,-25.97,-26.25,-38.22,0.8813,-0.3655,0.3143
6.885,-34.51,2.38,-53.83,1.3562,-0.5641,0.2162
7.008,20.58,-4.76,-33.74,0.5236,-0.4592,0.1967
7.124,38.85,3.15,16.73,1.2054,-0.1127,0.1923
7.244,47.39,21.98,-65.31,0.9467,-0.3919,0.2313
7.361,41.51,15.61,25.62,0.8067,-0.4841,-0.0952
7.381,-21.84,13.02,-43.26,1.1009,-0.7959,0.0098
7.402,-54.95,-5.74,-28.42,1.4806,-0.975,-0.0356
7.457,-97.37,-47.74,16.94,1.2537,-0.9799,0.1166
7.504,-105.77,-16.8,96.11,0.976,-0.5353,0.4319
7.662,-93.24,38.08,-95.13,0.8179,-0.1308,0.2664
7.757,-89.81,32.34,-104.02,0.4358,-0.1342,0.1747
7.963,-55.51,23.45,-15.68,1.4752,0.0024,0.4124
8.045,-28.14,61.46,29.05,0.8272,0.1718,0.5036
8.204,-32.41,6.93,-80.85,0.813,-0.1249,0.3572
8.28,-49.21,-12.18,-38.64,0.9194,0.039,0.2694
8.384,-73.85,2.94,-121.94,0.813,-0.1127,0.3211
8.524,-127.96,-80.92,-73.71,1.2815,-0.5388,0.8028
8.681,-87.92,-80.99,23.45,0.7027,0.9316,0.4597
8.762,-88.41,-48.02,-48.23,0.7037,0.0176,0.4865
8.923,-106.05,0.42,-77.84,0.7496,0.4778,0.3684
9.002,-79.94,-10.57,-9.59,0.8721,0.2562,0.5041
9.162,-53.9,-8.68,-27.09,0.7867,0.2455,0.4329
9.243,-45.5,-0.77,-21.21,0.691,0.1776,0.4104
9.402,-30.59,-20.3,115.71,0.9545,0.2674,0.5192
9.482,-3.43,-0.77,47.32,0.8164,0.0742,0.5104
9.702,26.74,3.71,105.28,1.0721,-0.307,0.6037
9.788,40.67,4.34,98.21,0.7505,-0.1274,0.7652
9.944,56.84,-20.51,122.57,0.7989,-0.528,0.6495
10.065,36.33,-27.02,48.3,0.669,-0.7022,0.6183
10.187,22.75,-22.33,3.71,0.6568,-0.6095,0.4421
10.304,25.2,-26.18,35.63,0.63,-0.5656,0.4514
10.426,25.48,-54.18,84.28,0.5724,-0.6842,0.4934
10.545,22.89,-53.27,45.57,0.4851,-0.7505,0.446
10.727,10.5,-30.03,27.72,0.8794,-0.9043,0.4226
10.844,-25.97,-20.86,-11.27,1.0843,-0.8813,0.3631
10.965,-7.91,1.82,1.68,0.6612,-0.4641,0.1313
11.088,-18.9,12.32,-59.01,0.6066,-0.7061,0.3977
11.204,-24.43,39.13,8.61,0.7842,-0.5109,0.2772
