timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
0.519,-12.81,37.03,-0.63,-0.1742,-0.1605,-0.9584
0.537,-13.51,39.55,-1.47,-0.1317,-0.1517,-0.9681
0.555,-12.53,35.84,-0.49,-0.0951,-0.1293,-0.9882
0.572,-10.29,25.55,2.24,-0.0527,-0.1263,-0.9994
0.59,-7.98,13.65,4.62,-0.0224,-0.1537,-0.953
0.608,-5.88,4.69,6.72,-0.0204,-0.1703,-0.954
0.626,-3.5,4.06,7.63,-0.0322,-0.1576,-0.976
0.64,-0.91,8.47,7.0,-0.0566,-0.1337,-1.0038
0.657,1.61,14.56,5.04,-0.0922,-0.139,-1.0106
0.675,2.45,14.28,2.1,-0.0844,-0.1664,-0.9681
0.691,0.63,7.77,0.84,-0.0409,-0.18,-0.9291
0.708,-2.03,-0.07,0.42,-0.0209,-0.1834,-0.9228
0.726,-3.5,-4.41,-0.28,-0.0312,-0.1708,-0.9408
0.744,-2.66,-4.13,-2.17,-0.0897,-0.1468,-0.9847
0.76,-0.7,-7.0,-4.06,-0.0971,-0.1317,-0.9574
0.776,1.26,-15.12,-3.64,-0.0473,-0.1283,-0.9447
0.794,2.31,-22.82,-1.68,-0.0219,-0.1093,-0.9442
0.812,3.15,-24.99,0.14,-0.037,-0.0951,-0.935
0.83,3.15,-20.79,-0.07,-0.0644,-0.1122,-0.9423
0.847,3.08,-13.79,-2.03,-0.1044,-0.1151,-0.9384
0.864,2.59,-7.63,-3.99,-0.1063,-0.1132,-0.9232
0.882,2.03,-4.76,-4.06,-0.0522,-0.1078,-0.9189
0.9,0.91,-2.1,-3.29,-0.0439,-0.1122,-0.9086
0.914,-0.42,1.54,-3.01,-0.0658,-0.1117,-0.9208
0.929,-0.91,3.99,-3.43,-0.0854,-0.1171,-0.9306
0.947,-0.7,4.48,-3.5,-0.0717,-0.1019,-0.9354
0.961,-0.14,3.22,-3.22,-0.0766,-0.0922,-0.9433
0.979,1.19,1.19,-2.03,-0.0678,-0.0956,-0.955
0.997,2.8699,-0.56,-0.98,-0.0658,-0.1268,-0.9569
1.014,2.94,-2.52,-0.35,-0.0668,-0.1376,-0.9501
1.029,2.31,-2.8699,-0.21,-0.0741,-0.141,-0.9574
1.046,1.05,-0.35,-0.49,-0.0863,-0.1366,-0.9589
1.061,-0.28,2.8699,-0.7,-0.0873,-0.1327,-0.9638
1.076,-1.33,4.62,-0.84,-0.0775,-0.1415,-0.9735
1.094,-2.24,3.85,-0.7,-0.0751,-0.14,-0.9838
1.111,-2.31,0.35,-0.77,-0.0814,-0.1361,-0.9921
1.127,-1.96,-2.31,-0.7,-0.0873,-0.119,-0.9925
1.145,-1.47,-4.62,0.35,-0.081,-0.101,-1.0111
1.16,-1.75,-6.16,1.26,-0.0795,-0.12,-0.9867
1.175,-3.15,-7.63,1.4,-0.0844,-0.1234,-0.9779
1.191,-4.55,-7.91,1.96,-0.0873,-0.1137,-0.9764
1.207,-5.53,-6.79,2.03,-0.1034,-0.1034,-0.9989
1.224,-5.11,-5.6,2.59,-0.0932,-0.0956,-1.0204
1.24,-5.04,-6.86,3.85,-0.081,-0.1112,-1.0282
1.256,-6.02,-10.22,5.7399,-0.0478,-0.1239,-1.034
1.273,-7.7,-11.55,7.84,-0.0531,-0.1176,-1.056
1.289,-8.75,-8.82,9.1,-0.0605,-0.1112,-1.1087
1.305,-8.68,-2.03,9.8,-0.0727,-0.1224,-1.1648
1.322,-7.49,4.76,10.08,-0.0751,-0.1893,-1.1985
1.34,-7.0,3.43,11.55,-0.019,-0.2205,-1.1843
1.358,-7.21,-7.35,15.47,0.0161,-0.2274,-1.1682
1.376,-7.84,-17.29,20.65,0.0297,-0.1927,-1.1385
1.389,-8.05,-21.14,23.3799,0.0009,-0.1873,-1.1365
1.407,-8.33,-20.72,25.9,-0.0209,-0.2108,-1.1121
1.425,-8.47,-12.39,24.7099,-0.0971,-0.2557,-1.1087
1.442,-8.33,-5.18,23.31,-0.119,-0.2874,-1.0843
1.46,-8.1899,-1.12,23.1,-0.058,-0.2991,-0.8827
1.476,-7.56,0.35,25.41,-0.0424,-0.3328,-1.0184
1.492,-6.16,0.91,28.21,-0.0175,-0.3596,-1.014
1.509,-2.17,-1.12,32.34,0.0331,-0.4094,-1.0277
1.524,0.21,-1.05,36.54,0.0409,-0.4299,-1.0003
1.54,0.98,7.49,39.62,0.0361,-0.4416,-1.0121
1.556,3.08,21.42,41.79,0.0722,-0.4684,-1.0023
1.571,0.77,35.21,43.82,0.0575,-0.5826,-1.0599
1.589,-1.47,45.9199,49.84,0.24,-0.6397,-1.0316
1.606,-3.85,53.27,56.98,0.1956,-0.6387,-1.0828
1.624,-5.25,64.68,65.24,0.2415,-0.6441,-1.1609
1.637,-6.65,89.32,70.98,0.2381,-0.5607,-1.2473
1.651,-7.63,77.56,77.14,0.2776,-0.5773,-1.3268
1.667,-7.84,80.29,83.72,0.3225,-0.6178,-1.3844
1.683,-7.77,79.31,93.1,0.4191,-0.6968,-1.3937
1.709,-17.99,99.47,103.81,0.3152,-0.7637,-1.3649
1.726,-22.4,126.28,101.29,0.1054,-0.7129,-1.4488
1.742,-24.92,136.64,99.96,0.1698,-0.566,-1.4083
1.76,-24.43,112.14,107.73,0.2771,-0.4504,-1.3127
1.776,-21.0,77.7699,121.1,0.3733,-0.365,-1.2697
1.794,-11.55,43.19,127.4,-0.0126,-0.3098,-1.3634
1.811,0.42,21.98,128.87,-0.0888,-0.2552,-1.3346
1.825,8.61,6.16,130.2,-0.139,-0.2283,-1.2487
1.842,15.19,-16.24,134.89,-0.0985,-0.2142,-1.1468
1.855,18.69,-41.72,142.66,0.0453,-0.1776,-1.0653
1.871,22.54,-67.2699,156.59,0.0258,-0.0756,-1.0628
1.889,28.14,-78.68,169.82,-0.0244,0.0688,-1.0726
1.907,34.09,-69.44,177.24,-0.1278,0.1644,-0.9506
1.924,32.7599,-43.47,180.53,-0.1273,0.1566,-0.813
1.942,25.69,-0.84,181.86,-0.0834,0.1464,-0.6675
1.959,15.33,40.53,180.0399,-0.0375,0.1137,-0.5704
1.974,6.58,77.42,175.21,-0.1478,0.1117,-0.547
1.989,-5.32,97.93,173.88,0.2196,0.1356,-0.2488
2.007,-15.75,112.7,177.31,0.2366,0.1512,-0.1625
2.025,-29.26,121.1,180.95,0.1947,0.2,-0.1342
2.043,-32.55,112.77,189.91,0.3679,0.3391,-0.1932
2.061,-21.6299,92.47,203.35,0.4592,-0.098,-0.5963
2.079,-10.01,72.66,219.38,0.4523,0.4318,-0.3006
2.095,3.29,64.12,230.93,0.2152,0.4689,-0.6373
2.111,15.19,71.26,228.69,-0.0771,0.7168,-0.3157
2.126,15.96,103.32,221.06,-0.1415,0.8749,-0.384
2.14,15.33,165.83,201.6,-0.4465,0.5397,-0.3874
2.157,6.65,252.84,177.03,0.0107,-0.2888,-0.6885
2.17,-1.61,305.06,169.12,0.3918,-0.2483,-0.6627
2.184,-12.95,320.32,162.89,0.5929,-0.3835,-0.793
2.2,-20.93,282.94,162.33,0.8803,-0.5519,-0.874
2.214,-25.34,207.9,166.0399,1.0238,-0.6314,-0.9379
2.231,-24.78,94.08,170.59,1.1306,-0.6758,-0.9228
2.247,-20.86,-2.59,170.94,1.0116,-0.5777,-0.8505
2.264,-18.48,-41.37,164.22,0.7983,-0.4113,-0.7466
2.278,-21.14,-24.99,152.1799,0.4997,-0.3235,-0.6846
2.292,-25.48,16.87,136.2899,0.4577,-0.2952,-0.6402
2.306,-31.57,63.7,120.54,0.4133,-0.3181,-0.6197
2.323,-53.69,100.5899,105.07,0.4123,-0.2357,-0.5563
2.341,-38.36,111.09,93.5899,0.4206,-0.1356,-0.4889
2.355,-39.55,102.55,88.13,0.4113,-0.0507,-0.4294
2.384,-36.75,50.54,81.41,0.4026,-0.0644,-0.4055
2.401,-31.71,22.12,78.47,0.3821,-0.0941,-0.4435
2.416,-26.46,4.34,74.55,0.3708,-0.1424,-0.4801
2.431,-20.23,-0.77,70.0,0.344,-0.2357,-0.4923
2.446,-16.31,-0.77,64.05,0.362,-0.3464,-0.5011
2.464,-13.79,0.42,59.43,0.4143,-0.4221,-0.5075
2.482,-10.64,6.23,56.0,0.4811,-0.5333,-0.5641
2.5,-8.1899,12.25,54.81,0.5387,-0.6529,-0.5943
2.518,-4.83,20.44,54.88,0.6114,-0.71,-0.5943
2.534,-2.73,29.26,56.49,0.627,-0.7329,-0.6222
2.55,0.98,36.19,58.73,0.6446,-0.7354,-0.6568
2.566,5.88,40.81,61.39,0.6705,-0.7593,-0.6836
2.581,10.43,40.18,65.5199,0.689,-0.75,-0.6822
2.597,15.75,37.1699,71.05,0.7139,-0.7554,-0.69
2.615,22.33,33.18,77.35,0.7212,-0.7554,-0.7022
2.63,26.32,31.64,82.46,0.7061,-0.7237,-0.6705
2.647,28.42,37.03,85.75,0.6329,-0.6148,-0.6168
2.664,29.26,49.56,85.96,0.5651,-0.4884,-0.6329
2.679,30.59,62.16,83.58,0.527,-0.4221,-0.6866
2.695,32.62,69.3,80.92,0.5368,-0.3991,-0.7188
2.713,33.6,61.67,77.21,0.5748,-0.4382,-0.732
2.731,31.85,47.6699,72.5199,0.5821,-0.5548,-0.7471
2.749,28.91,33.81,66.15,0.6192,-0.6036,-0.7354
2.763,23.45,24.29,59.29,0.566,-0.6246,-0.7417
2.78,19.74,27.58,48.93,0.506,-0.5641,-0.7627
2.798,14.28,38.57,34.65,0.4318,-0.4148,-0.7598
2.816,11.2,43.54,21.7,0.4084,-0.2976,-0.7036
2.832,8.4,39.41,12.32,0.3899,-0.24,-0.6548
2.849,6.16,25.55,3.99,0.3708,-0.1878,-0.6363
2.863,5.18,6.72,-1.47,0.386,-0.1854,-0.6436
2.88,5.18,-18.55,-7.21,0.3855,-0.201,-0.6656
2.896,6.51,-32.83,-12.25,0.386,-0.2137,-0.6749
2.914,8.33,-37.94,-16.52,0.3977,-0.2357,-0.689
2.927,9.52,-35.91,-19.25,0.4274,-0.2723,-0.6939
2.943,10.71,-29.05,-21.6299,0.446,-0.3015,-0.7032
2.961,11.41,-23.94,-24.08,0.4645,-0.3538,-0.7115
2.979,13.16,-14.42,-26.11,0.4919,-0.4309,-0.7407
2.997,15.61,-4.9,-28.63,0.4992,-0.4884,-0.769
3.014,20.37,5.95,-30.38,0.5163,-0.507,-0.7847
3.032,28.35,14.14,-30.59,0.5709,-0.4528,-0.7695
3.05,37.24,9.03,-29.68,0.6226,-0.5558,-0.7734
3.066,43.05,-2.73,-29.61,0.6607,-0.7173,-0.7969
3.08,47.25,-12.67,-30.38,0.71,-0.8735,-0.81
3.098,49.07,-20.58,-33.25,0.7407,-1.0599,-0.791
3.116,44.66,-19.67,-38.64,0.7246,-1.0882,-0.7349
3.134,36.68,-14.35,-48.86,0.6578,-1.0604,-0.6973
3.151,26.39,-14.42,-59.22,0.6544,-1.0931,-0.7027
3.167,20.51,-23.73,-68.74,0.669,-1.1341,-0.7134
3.185,16.52,-34.86,-75.04,0.7271,-1.1863,-0.7036
