timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
0.523,-9.31,-263.27,47.53,0.5948,0.5348,-0.2425
0.54,-5.32,-231.07,45.64,0.6226,0.5626,-0.2152
0.557,-2.17,-198.66,43.96,0.6275,0.607,-0.2513
0.573,0.07,-173.67,42.21,0.589,0.6466,-0.2464
0.587,0.91,-159.67,41.37,0.5348,0.7168,-0.2093
0.603,-0.77,-143.78,40.25,0.4528,0.8466,-0.1507
0.617,-3.64,-121.66,39.9,0.4557,0.9677,-0.2318
0.633,-5.81,-96.53,41.09,0.4797,1.0409,-0.2967
0.651,-9.87,-74.69,43.54,0.4235,1.0701,-0.2327
0.668,-15.61,-57.4,47.53,0.4128,1.0438,-0.1093
0.686,-27.02,-33.46,49.28,0.3328,1.3986,-0.0234
0.704,-35.14,-0.84,50.75,0.2874,1.3507,-0.0692
0.722,-43.96,38.29,48.44,0.2923,1.118,-0.2078
0.737,-43.89,73.43,43.96,0.3489,0.8842,-0.2947
0.752,-39.06,100.5899,38.78,0.342,0.7642,-0.3181
0.768,-31.71,111.02,36.54,0.4772,0.8247,-0.3913
0.782,-22.54,117.88,40.32,0.6656,0.8515,-0.5416
0.798,-12.04,127.75,52.08,0.873,0.8378,-0.6241
0.812,-2.45,130.06,64.4,0.9999,0.7246,-0.5807
0.828,4.9699,123.76,76.44,0.995,0.5865,-0.4265
0.842,8.68,113.33,82.88,0.9911,0.4543,-0.3498
0.857,11.06,103.81,87.22,1.0057,0.3699,-0.3132
0.872,11.6899,96.53,89.6,0.9706,0.4074,-0.2347
0.888,10.22,93.17,89.81,0.9364,0.3728,-0.2078
0.906,8.82,98.28,86.24,0.7554,0.3557,-0.1961
0.924,6.02,117.53,80.5,0.7949,0.3474,-0.1952
0.941,3.64,136.22,73.5,0.7593,0.2859,-0.1747
0.959,2.03,150.99,71.19,0.7973,0.1932,-0.1805
0.977,-0.35,144.97,75.46,0.9281,0.1698,-0.1566
0.992,-3.29,128.8,80.5,0.9467,0.1366,-0.1034
1.009,-5.81,112.35,83.93,0.9023,0.1083,-0.1107
1.027,-7.63,103.81,81.97,0.8227,0.0385,-0.1015
1.045,-9.45,109.2,78.47,0.8105,-0.0297,-0.0375
1.062,-14.56,122.22,77.14,0.8335,-0.0009,0.0204
1.08,-17.08,132.9299,78.61,0.9032,0.1054,-0.0439
1.097,-17.22,139.51,81.2,0.9364,0.1952,-0.0805
1.113,-15.12,134.96,84.49,0.9535,0.2308,-0.1107
1.131,-10.36,119.14,89.95,1.0457,0.2747,-0.1327
1.148,-6.09,97.16,99.33,1.1184,0.2571,-0.0688
1.165,-4.55,69.0199,107.1,1.1419,0.1512,0.0429
1.182,-4.76,46.69,113.19,1.155,0.0771,0.1102
1.2,-6.09,27.02,114.66,1.0789,0.0263,0.1576
1.215,-8.12,13.93,112.84,1.0584,-0.0253,0.1917
1.233,-10.22,35.0,109.06,1.1077,-0.2235,0.1542
1.247,-10.57,37.38,106.96,1.2004,-0.3577,0.0649
1.263,-8.75,50.47,105.84,1.2712,-0.304,-0.0068
1.281,-6.86,32.06,106.54,1.3283,-0.1454,0.0961
1.298,-6.16,-14.56,108.43,1.461,-0.2274,0.2156
1.316,-6.86,-65.8,110.88,1.4805,-0.2928,0.3035
1.334,-9.59,-78.96,110.11,1.3815,-0.0541,0.325
1.348,-21.07,-66.43,104.3,1.1306,0.2078,0.5299
1.365,-35.63,-18.97,89.53,0.8974,0.3079,0.5104
1.382,-47.6,39.83,69.86,0.8144,0.3591,0.3498
1.398,-51.66,88.97,50.82,0.8715,0.4821,0.2566
1.413,-51.45,110.81,38.99,1.0091,0.5743,0.1532
1.427,-48.23,106.4,30.87,1.0897,0.6446,0.1537
1.443,-42.49,72.1,24.78,1.1668,0.5719,0.1395
1.461,-34.72,23.24,20.3,1.197,0.4811,0.0941
1.478,-26.46,-33.88,14.63,1.1228,0.2498,0.1
1.495,-18.76,-73.57,5.53,1.0101,0.1088,0.1185
